rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
1,500,,0.5,20,5,0.563525113574241,0.0208957015523938,2.118677967158656,0.1400681908881588,11.9213
2,500,20.0,0.5,20,5,0.5634440256558964,0.0208756562117671,2.118865096364111,0.1399065068597335,10.3512
3,500,20.0,0.5,20,2,0.5628248666425496,0.0202343548323019,2.1205006625503637,0.1407542253775524,10.646
4,500,20.0,log2,20,5,0.5627190626221826,0.0202043078686222,2.120920856304353,0.1434900202706094,9.6632
5,500,,0.5,20,2,0.5627044350231054,0.0203390517113662,2.120825002974666,0.1413406818245318,10.9683
6,500,,log2,20,5,0.5626920304031312,0.020288712088525,2.120988035775471,0.1436731305484461,9.867
7,500,,0.5,5,5,0.5625605816675487,0.023370700625802,2.1209303847948258,0.1428397226836981,11.7906
8,500,,0.5,10,5,0.5625605816675487,0.023370700625802,2.1209303847948258,0.1428397226836982,11.3803
9,500,,0.5,2,5,0.5625605816675486,0.023370700625802,2.1209303847948258,0.1428397226836982,10.3201
10,500,10.0,0.5,20,5,0.5625266543221545,0.0215313751564214,2.1209805770975647,0.1396976192739435,10.6543
