n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
50,,sqrt,2,1,0.548301573326597,0.02380018354905954,2.1551397971479496,0.1444398816275675,2.9626
50,,sqrt,2,2,0.5499714400550986,0.025642660747833817,2.1506319218952723,0.13995265805665072,2.9838
50,,sqrt,2,5,0.5546519157299628,0.025905316201672995,2.139785164067369,0.14521678866912804,2.2477
50,,sqrt,2,10,0.547606666524272,0.020362383099754564,2.157335704438367,0.14629329569906363,2.1019
50,,sqrt,5,1,0.5462718362002283,0.027192394463780533,2.159070063297726,0.13653416820911043,2.5622
50,,sqrt,5,2,0.5543719809751504,0.022507707508637377,2.141114114975918,0.1488527607366125,2.1555
50,,sqrt,5,5,0.5546519157299628,0.025905316201672985,2.139785164067369,0.1452167886691281,2.3803
50,,sqrt,5,10,0.547606666524272,0.020362383099754584,2.157335704438367,0.14629329569906369,2.9528
50,,sqrt,10,1,0.5538065699549171,0.021388282205328714,2.1425593951871913,0.14783432276110095,2.2972
50,,sqrt,10,2,0.5544512070412995,0.020275351674502607,2.1410691153632717,0.14741282046931756,9.8398
50,,sqrt,10,5,0.5546519157299628,0.025905316201672978,2.139785164067369,0.1452167886691282,9.6736
50,,sqrt,10,10,0.547606666524272,0.020362383099754546,2.157335704438367,0.14629329569906363,12.1728
50,,sqrt,20,1,0.5533669634142158,0.02588972555952721,2.1430778510197928,0.14833894335680714,11.3846
50,,sqrt,20,2,0.5521157435486833,0.020263505561441426,2.1469147532974717,0.1512023076135351,5.8759
50,,sqrt,20,5,0.5540808375403932,0.02128518822225239,2.1416644107400353,0.14520863070337683,7.2696
50,,sqrt,20,10,0.5476066665242719,0.020362383099754577,2.157335704438367,0.1462932956990637,7.1434
50,,log2,2,1,0.5483476252913826,0.027081151454117137,2.154727645598937,0.14505693005295908,9.496
50,,log2,2,2,0.5486458798145754,0.025409965401095816,2.153805401086761,0.13888654049457175,7.665
50,,log2,2,5,0.5590391191423074,0.02623893233589912,2.1292957328854647,0.1467923288455684,7.2269
50,,log2,2,10,0.5581737722210877,0.021249648194449855,2.1319873818642083,0.14661684581720072,7.3951
50,,log2,5,1,0.5502319330770037,0.029010525826358137,2.1497000471031145,0.1418082060035833,7.5212
50,,log2,5,2,0.5540504237898017,0.023580687032439533,2.1413990319205594,0.14260785106909973,7.3573
50,,log2,5,5,0.5590391191423076,0.026238932335899138,2.1292957328854643,0.14679232884556853,7.3502
50,,log2,5,10,0.5581737722210877,0.021249648194449872,2.1319873818642083,0.1466168458172007,7.5024
50,,log2,10,1,0.5561655793031519,0.02306721112474421,2.1363076647088004,0.1421235721377421,6.3509
50,,log2,10,2,0.5585720586604151,0.023228387163937318,2.130544093190676,0.14285296421557717,7.6992
50,,log2,10,5,0.5590391191423076,0.026238932335899145,2.1292957328854647,0.14679232884556848,8.8667
50,,log2,10,10,0.5581737722210877,0.021249648194449886,2.1319873818642083,0.14661684581720064,7.2322
50,,log2,20,1,0.5577089315979148,0.01964200765389053,2.1330192340378074,0.14285632585788707,7.4484
50,,log2,20,2,0.5587524693578924,0.02245466007981447,2.129911443264258,0.1383715109040403,7.2267
50,,log2,20,5,0.559228686999495,0.021562778460724,2.1290768901526094,0.1417822314968047,7.1439
50,,log2,20,10,0.5581737722210877,0.021249648194449862,2.1319873818642083,0.14661684581720066,7.0967
50,,0.5,2,1,0.5430470151642981,0.024467377793416147,2.166941389895369,0.13406553386006553,8.2905
50,,0.5,2,2,0.547494263090351,0.02798230337666233,2.1555895627797,0.12858925142724184,9.3984
50,,0.5,2,5,0.5563489203525318,0.023953480646463594,2.135792768333766,0.1424512669295696,7.5228
