parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,415.0,0.0,True
n_estimators,50,200,10.0,0.0,True
n_estimators,50,500,0.0,0.0,True
n_estimators,100,200,2462.0,0.0,True
n_estimators,100,500,4.0,0.0,True
n_estimators,200,500,412.0,0.0,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,16224.0,0.8502,False
max_depth,10.0,nan,16291.0,0.8947,False
max_depth,20.0,nan,13387.0,0.0697,False
max_features,0.5,1.0,14345.0,0.0762,False
max_features,0.5,log2,8863.0,0.0,True
max_features,0.5,sqrt,1291.0,0.0,True
max_features,1.0,log2,14958.0,0.2089,False
max_features,1.0,sqrt,9920.0,0.0,True
max_features,log2,sqrt,322.0,0.0,True
min_samples_split,2,5,3338.0,0.0,True
min_samples_split,2,10,1254.5,0.0,True
min_samples_split,2,20,4532.5,0.0,True
min_samples_split,5,10,1407.0,0.0,True
min_samples_split,5,20,4625.5,0.0,True
min_samples_split,10,20,7492.0,0.0,True
min_samples_leaf,1,2,3490.0,0.0,True
min_samples_leaf,1,5,929.0,0.0,True
min_samples_leaf,1,10,8050.0,0.0,True
min_samples_leaf,2,5,2230.0,0.0,True
min_samples_leaf,2,10,11000.0,0.0,True
min_samples_leaf,5,10,11946.0,0.0001,True
