rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,50,,sqrt,2,2,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,0.8444
2,50,,sqrt,5,1,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,0.8626
3,50,,sqrt,5,2,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,0.8527
4,50,,log2,2,2,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,1.449
5,50,,log2,5,1,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,3.1179
6,50,,log2,5,2,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,3.2297
7,50,,0.5,2,2,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,2.9712
8,50,,0.5,5,1,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,3.1347
9,50,,0.5,5,2,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,3.0054
10,50,10.0,sqrt,2,2,0.9941640244159244,0.0085077463711521,0.994160583941606,0.0085123385326208,2.6462
