parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,2302.0,0.0,True
n_estimators,50,200,4355.0,0.0,True
n_estimators,50,500,6667.0,0.0,True
n_estimators,100,200,6185.0,0.763,False
n_estimators,100,500,9233.0,0.0027,True
n_estimators,200,500,8216.0,0.0002,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,0.0,0.0833,False
max_depth,10.0,nan,0.0,0.0833,False
max_depth,20.0,nan,0.0,,False
max_features,0.5,1.0,1800.0,0.0,True
max_features,0.5,log2,0.0,,False
max_features,0.5,sqrt,0.0,,False
max_features,1.0,log2,1800.0,0.0,True
max_features,1.0,sqrt,1800.0,0.0,True
max_features,log2,sqrt,0.0,,False
min_samples_split,2,5,180.0,0.0002,True
min_samples_split,2,10,847.0,0.0,True
min_samples_split,2,20,13.0,0.0,True
min_samples_split,5,10,351.0,0.0,True
min_samples_split,5,20,19.0,0.0,True
min_samples_split,10,20,33.0,0.0,True
min_samples_leaf,1,2,6048.0,0.8943,False
min_samples_leaf,1,5,467.0,0.0,True
min_samples_leaf,1,10,0.0,0.0,True
min_samples_leaf,2,5,380.0,0.0,True
min_samples_leaf,2,10,0.0,0.0,True
min_samples_leaf,5,10,0.0,0.0,True
