rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
1,500,,0.5,2,1,0.9465756599265576,0.0036046837769216,41.87173038550462,1.4311312673522072,42.5304
2,500,20.0,0.5,2,1,0.946337211169262,0.0035772071294977,41.96790769896456,1.4796516684696457,41.5971
3,200,,0.5,2,1,0.9463171254223424,0.0033713112167254,41.977991279559,1.4134212339120316,28.7732
4,100,,0.5,2,1,0.945951300932218,0.0037531555117091,42.11626884496562,1.532711024007711,18.4379
5,200,20.0,0.5,2,1,0.9458533347345768,0.0036810254724058,42.15489785509133,1.49122148234715,23.2133
6,500,,1.0,2,1,0.9455165291672348,0.0050276979745152,42.26783139399539,2.0638427617793296,67.062
7,500,20.0,1.0,2,1,0.9455134666118648,0.0050156333384446,42.26917634921252,2.060872983011259,64.8348
8,500,,1.0,5,1,0.945399955870829,0.0050147298179671,42.31370660049507,2.0676390551617945,57.2936
9,500,20.0,1.0,5,1,0.9453783977393044,0.0050347511744635,42.32200483051723,2.08330281674694,57.0124
10,200,20.0,1.0,2,1,0.9453266814956804,0.0054297832880783,42.33454925317647,2.204988137804841,32.0523
