rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,50,,0.5,5,1,0.9612118106150572,0.0283753214501599,0.9614035087719298,0.0280701754385964,0.831
2,50,10.0,0.5,5,1,0.9612118106150572,0.0283753214501599,0.9614035087719298,0.0280701754385964,0.8515
3,50,20.0,0.5,5,1,0.9612118106150572,0.0283753214501599,0.9614035087719298,0.0280701754385964,0.869
4,50,,0.5,2,1,0.9577542227391088,0.0225634748492916,0.9578947368421054,0.0224671025874836,0.8596
5,50,10.0,0.5,2,1,0.9577542227391088,0.0225634748492916,0.9578947368421054,0.0224671025874836,0.872
6,50,20.0,0.5,2,1,0.9577542227391088,0.0225634748492916,0.9578947368421054,0.0224671025874836,0.8752
7,50,,0.5,5,2,0.9577419397120308,0.025215329894942,0.9578947368421054,0.0250576436089222,0.8431
8,50,10.0,0.5,5,2,0.9577419397120308,0.025215329894942,0.9578947368421054,0.0250576436089222,0.864
9,50,20.0,0.5,5,2,0.9577419397120308,0.025215329894942,0.9578947368421054,0.0250576436089222,0.8589
10,100,,0.5,2,1,0.957691895269104,0.0211923081395797,0.9578947368421054,0.0210526315789473,1.3796
