n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
50,,sqrt,2,1,0.9523113960990853,0.03191750251174964,0.9526002506265664,0.031402809314998635,0.8368
50,,sqrt,2,2,0.9487005356310909,0.036430850363820565,0.9491228070175438,0.03548026037922225,0.8667
50,,sqrt,2,5,0.9519242500158314,0.038485323786491686,0.9526315789473683,0.036842105263157884,0.8379
50,,sqrt,2,10,0.9466737375211771,0.03670359657101793,0.9473684210526315,0.03508771929824561,0.7681
50,,sqrt,5,1,0.9523016436643317,0.027855882160660275,0.9526315789473685,0.02723539420396495,0.8243
50,,sqrt,5,2,0.9541812027026353,0.029832418946944245,0.9543859649122807,0.029565437800618807,0.7866
50,,sqrt,5,5,0.9519242500158314,0.038485323786491686,0.9526315789473683,0.036842105263157884,0.7901
50,,sqrt,5,10,0.9466737375211771,0.03670359657101793,0.9473684210526315,0.03508771929824561,0.776
50,,sqrt,10,1,0.9464727223740177,0.04724174279368345,0.9473684210526315,0.045070991504088165,0.7525
50,,sqrt,10,2,0.9520658191006447,0.04371027487192099,0.9526315789473683,0.042287616818224384,0.7505
50,,sqrt,10,5,0.9519242500158314,0.038485323786491686,0.9526315789473683,0.036842105263157884,0.7663
50,,sqrt,10,10,0.9466737375211771,0.03670359657101793,0.9473684210526315,0.03508771929824561,0.7883
50,,sqrt,20,1,0.9467371383821408,0.0414785523025585,0.9473684210526315,0.04000615526663643,0.7744
50,,sqrt,20,2,0.9485029857121404,0.042589310810038764,0.9491228070175438,0.04110657724161397,0.8
50,,sqrt,20,5,0.9466047073549728,0.036703403437527,0.9473684210526315,0.03508771929824561,0.8318
50,,sqrt,20,10,0.9466737375211771,0.03670359657101793,0.9473684210526315,0.03508771929824561,0.7769
50,,log2,2,1,0.9520880295832865,0.042304294582455465,0.9526315789473683,0.0408059766653088,0.7784
50,,log2,2,2,0.9558764567613857,0.03018108853406573,0.956140350877193,0.029617443887954606,0.7754
50,,log2,2,5,0.9503431306521033,0.03320911768703926,0.9508771929824562,0.03215842592951467,0.7708
50,,log2,2,10,0.9470896978909773,0.02762303587181546,0.9473370927318296,0.0271385184166688,0.7679
50,,log2,5,1,0.9575783716292843,0.030211020483828475,0.9578947368421054,0.02956543780061879,0.7667
50,,log2,5,2,0.9522678940283749,0.026690318647079114,0.9526002506265664,0.026045141993969723,0.7828
50,,log2,5,5,0.9503431306521033,0.03320911768703926,0.9508771929824562,0.03215842592951467,0.7719
50,,log2,5,10,0.9470896978909773,0.02762303587181546,0.9473370927318296,0.0271385184166688,0.7792
50,,log2,10,1,0.9466047073549728,0.036703403437527,0.9473684210526315,0.03508771929824561,0.7917
50,,log2,10,2,0.952277499047155,0.02785540218324791,0.9526315789473683,0.027235394203964952,0.7806
50,,log2,10,5,0.9503431306521033,0.03320911768703926,0.9508771929824562,0.03215842592951467,0.7865
50,,log2,10,10,0.9470896978909773,0.02762303587181546,0.9473370927318296,0.0271385184166688,0.7841
50,,log2,20,1,0.9485578198344011,0.03189361969755136,0.9491228070175438,0.030839290932012195,0.7592
50,,log2,20,2,0.9540628098648571,0.029125322038670354,0.9543859649122807,0.028505397911003365,0.7729
50,,log2,20,5,0.9503431306521033,0.03320911768703926,0.9508771929824562,0.03215842592951467,0.8373
50,,log2,20,10,0.9470896978909773,0.02762303587181546,0.9473370927318296,0.0271385184166688,0.7396
