parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,8765.0,0.0,True
n_estimators,50,200,15958.0,0.7588,False
n_estimators,50,500,10885.0,0.0,True
n_estimators,100,200,7965.0,0.0,True
n_estimators,100,500,14347.0,0.5879,False
n_estimators,200,500,5985.5,0.0,True
max_depth,5.0,10.0,4483.5,0.0,True
max_depth,5.0,20.0,4411.5,0.0,True
max_depth,5.0,nan,4446.5,0.0,True
max_depth,10.0,20.0,0.0,0.1088,False
max_depth,10.0,nan,5.0,0.5002,False
max_depth,20.0,nan,1.0,0.6547,False
max_features,0.5,1.0,87.0,0.0,True
max_features,0.5,log2,4184.0,0.0,True
max_features,0.5,sqrt,8282.0,0.0,True
max_features,1.0,log2,2447.0,0.0,True
max_features,1.0,sqrt,405.0,0.0,True
max_features,log2,sqrt,7218.0,0.0,True
min_samples_split,2,5,2347.5,0.0355,True
min_samples_split,2,10,697.0,0.0,True
min_samples_split,2,20,415.5,0.0,True
min_samples_split,5,10,419.0,0.0,True
min_samples_split,5,20,305.5,0.0,True
min_samples_split,10,20,2353.5,0.0,True
min_samples_leaf,1,2,9504.5,0.0,True
min_samples_leaf,1,5,15370.5,0.3635,False
min_samples_leaf,1,10,4795.0,0.0,True
min_samples_leaf,2,5,13983.0,0.0474,True
min_samples_leaf,2,10,8201.0,0.0,True
min_samples_leaf,5,10,3535.0,0.0,True
