rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
1,500,,log2,2,1,0.8265628515823386,0.0098840949601941,0.4802670619409411,0.0158549266471004,127.7732
2,500,20.0,log2,2,1,0.826331435344305,0.01022030454468,0.4805737276618048,0.0162665114253007,36.8318
3,500,,log2,5,1,0.8258083884644524,0.0100693111708227,0.4812951830746937,0.0157733255698104,102.4545
4,500,20.0,log2,5,1,0.8251523787944727,0.0100395110775216,0.4822078906018386,0.0158540352010513,35.4053
5,500,,log2,2,2,0.8249835284511253,0.0107536948547531,0.4824205018549882,0.0170197238299911,69.1568
6,500,,log2,5,2,0.8248443175767965,0.0103243476211034,0.4826328799190838,0.0165398682123532,94.3806
7,500,20.0,log2,2,2,0.8245885775876509,0.0106277352847879,0.4829729390538529,0.0168989158103707,35.5645
8,500,20.0,log2,5,2,0.8243981673590012,0.0104169958644107,0.4832367035733805,0.0163653851144844,32.7903
9,200,,log2,2,1,0.8242471621017128,0.0099118498190817,0.4834635888759743,0.0157474427210147,44.1279
10,200,20.0,log2,2,1,0.8242378137682607,0.010473279766935,0.4834647529879746,0.0167198422618492,47.3495
