n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
50,,sqrt,2,1,0.8176049773576001,0.008715813136506677,0.49255815859985086,0.013652081100202799,3.0499
50,,sqrt,2,2,0.8152476663858316,0.012007325746365632,0.4956223023392381,0.01792554798270073,2.5448
50,,sqrt,2,5,0.8074133382978038,0.010626694341309828,0.5061075291666783,0.016426668401190805,2.1408
50,,sqrt,2,10,0.7942615406148519,0.01131791842729382,0.5230958655298374,0.016745075857200076,4.008
50,,sqrt,5,1,0.816743787947748,0.010644970012879508,0.49368497104581033,0.01696788445898891,7.5025
50,,sqrt,5,2,0.8146292521738259,0.01080535937571774,0.496501209685636,0.016359276125331286,6.8259
50,,sqrt,5,5,0.8074133382978038,0.010626694341309846,0.5061075291666783,0.016426668401190808,5.7431
50,,sqrt,5,10,0.7942615406148519,0.01131791842729382,0.5230958655298373,0.016745075857200097,5.1356
50,,sqrt,10,1,0.8131815784755559,0.009125606219643133,0.49847953272499235,0.013735234593600197,6.5205
50,,sqrt,10,2,0.8106013893816156,0.010279843409077418,0.5018829157553313,0.015483674650713888,6.3043
50,,sqrt,10,5,0.8074133382978038,0.010626694341309823,0.5061075291666783,0.016426668401190808,5.7575
50,,sqrt,10,10,0.7942615406148519,0.011317918427293797,0.5230958655298374,0.016745075857200073,5.074
50,,sqrt,20,1,0.8067414500728886,0.010093927865024518,0.507002699608754,0.015611108234289607,5.9089
50,,sqrt,20,2,0.8039082103613829,0.011246465383055052,0.5106760065340534,0.017159616140434243,5.7855
50,,sqrt,20,5,0.8011009776341262,0.010917248464056898,0.5143392624861848,0.016868643018785465,5.4479
50,,sqrt,20,10,0.7942615406148519,0.011317918427293794,0.5230958655298374,0.016745075857200083,5.1123
50,,log2,2,1,0.8216968530884674,0.00870954627869349,0.48701282819625014,0.014519584256614499,11.6032
50,,log2,2,2,0.8208594073054483,0.010233968083701405,0.4881031667497317,0.016394652325104026,9.5283
50,,log2,2,5,0.8136012380828765,0.010205068972254646,0.49790039752243204,0.015868574147816412,7.6664
50,,log2,2,10,0.8038585306552626,0.01145080744395731,0.5107459068981385,0.01782359674251897,6.8816
50,,log2,5,1,0.820144662632978,0.009990749574474893,0.48907696044496457,0.01573571840902716,9.9688
50,,log2,5,2,0.8208714035402078,0.009610523014050087,0.48812811345775653,0.01613160436735169,9.3397
50,,log2,5,5,0.8136012380828765,0.010205068972254648,0.49790039752243204,0.01586857414781641,7.869
50,,log2,5,10,0.8038585306552626,0.01145080744395731,0.5107459068981385,0.017823596742518967,6.9874
50,,log2,10,1,0.8201652327053903,0.009140337062250356,0.48909001560473264,0.014900164602463207,9.1042
50,,log2,10,2,0.8184927559371736,0.010205732260408535,0.4913400701492462,0.01661872510946839,8.5358
50,,log2,10,5,0.8136012380828765,0.010205068972254646,0.49790039752243204,0.015868574147816412,7.7926
50,,log2,10,10,0.8038585306552626,0.01145080744395731,0.5107459068981385,0.017823596742518957,6.9067
50,,log2,20,1,0.811708690074496,0.010010625299615881,0.5004392666840539,0.01570081053712888,8.2838
50,,log2,20,2,0.8117921814027345,0.01093480397060163,0.5002978647193791,0.01687282623250933,7.9925
50,,log2,20,5,0.8086028641440981,0.01051148443738728,0.5045315083099997,0.016076375694822512,7.6825
50,,log2,20,10,0.8038585306552626,0.011450807443957302,0.5107459068981385,0.017823596742518946,6.9773
50,,0.5,2,1,0.8189619170278866,0.010599540884675926,0.4906621414112865,0.016527392474553853,14.4087
50,,0.5,2,2,0.8188642935241083,0.010129055110774504,0.4908220347291442,0.01622522311080776,12.2812
50,,0.5,2,5,0.812795227197123,0.01162888411972902,0.4989314505488589,0.01785262177095498,10.0668
50,,0.5,2,10,0.8027512031377013,0.011154104256310004,0.5122067058764022,0.017659444162842788,8.703
50,,0.5,5,1,0.8191298627679652,0.009920275696672537,0.4904628685701783,0.015600193201232938,12.729
50,,0.5,5,2,0.8197489276053295,0.010601820335104777,0.4895852920178256,0.01625491018740243,11.9398
50,,0.5,5,5,0.812795227197123,0.011628884119729035,0.4989314505488589,0.01785262177095497,10.0003
50,,0.5,5,10,0.8027512031377011,0.011154104256310013,0.5122067058764022,0.017659444162842777,8.7382
50,,0.5,10,1,0.8173986050744066,0.01032225056268233,0.4928060301798518,0.016552328317545273,11.6892
50,,0.5,10,2,0.8157947140085652,0.011852736515157778,0.49489755546113284,0.018148149923559054,11.0218
50,,0.5,10,5,0.812795227197123,0.011628884119729012,0.4989314505488589,0.01785262177095496,10.0384
50,,0.5,10,10,0.8027512031377011,0.011154104256310013,0.5122067058764022,0.017659444162842784,8.6914
50,,0.5,20,1,0.8116754260137558,0.00941075764668377,0.5004991420966152,0.014867173966591658,10.3051
50,,0.5,20,2,0.8103687762635936,0.010870337034326676,0.502180616785236,0.01657992406683507,10.3318
50,,0.5,20,5,0.8075309383142579,0.01056275232778386,0.5059501340017973,0.016354794252851506,9.4602
50,,0.5,20,10,0.8027512031377011,0.01115410425631002,0.5122067058764024,0.01765944416284279,8.6219
50,,1.0,2,1,0.8114529295061331,0.010240289090091234,0.5007733994410744,0.01608549211782899,25.6825
50,,1.0,2,2,0.8115829791101927,0.010391604463452803,0.5006100581372184,0.01674068395174239,22.1012
50,,1.0,2,5,0.8078041222841719,0.011610497403816623,0.5055751239098902,0.01828323573953959,18.3721
50,,1.0,2,10,0.798089034008471,0.012600715337707635,0.518183464892257,0.019316523411211088,15.9119
50,,1.0,5,1,0.8114848970287951,0.01026147027864059,0.5007364559811215,0.01629482165827961,23.5135
50,,1.0,5,2,0.8116065337738949,0.010492238886302031,0.5005797905621582,0.0169975012361279,21.6491
50,,1.0,5,5,0.8078041222841719,0.011610497403816615,0.5055751239098902,0.018283235739539584,18.5031
50,,1.0,5,10,0.798089034008471,0.012600715337707635,0.518183464892257,0.019316523411211088,16.3496
50,,1.0,10,1,0.8100853124264974,0.010176740232876784,0.502605782239674,0.016484613038164068,22.4003
50,,1.0,10,2,0.8100790670293339,0.01075726418775387,0.5026012272090863,0.017397878612777952,21.5566
50,,1.0,10,5,0.8078041222841719,0.011610497403816623,0.5055751239098902,0.018283235739539577,19.3519
50,,1.0,10,10,0.798089034008471,0.012600715337707647,0.518183464892257,0.019316523411211095,17.2993
50,,1.0,20,1,0.8056002905447814,0.01066073654395218,0.5084989782176221,0.017011219210364456,20.5003
50,,1.0,20,2,0.8057016961945719,0.011162864686591537,0.508352706382205,0.01772161347944867,19.8115
50,,1.0,20,5,0.8039046446381797,0.011656148822739078,0.5106830248894896,0.018187836317662076,18.8398
50,,1.0,20,10,0.798089034008471,0.012600715337707635,0.518183464892257,0.019316523411211088,16.8412
50,5,sqrt,2,1,0.6336797484963685,0.012111624073256846,0.6981679328078697,0.01603812923012492,2.8781
50,5,sqrt,2,2,0.6341164889448173,0.01189934260141948,0.69775906168785,0.016082363866267064,2.9587
50,5,sqrt,2,5,0.6342840961479088,0.012210922969364865,0.697595568920177,0.01634498756379069,2.8672
50,5,sqrt,2,10,0.6343364685854435,0.011634847884408378,0.697551457215041,0.015814467423057352,2.8217
50,5,sqrt,5,1,0.6338533337958789,0.011871379365648138,0.6980090843164584,0.01600998954120677,2.9035
50,5,sqrt,5,2,0.6340334333866994,0.011905399416541021,0.6978383316612595,0.016092832425329846,2.8519
50,5,sqrt,5,5,0.6342840961479088,0.012210922969364858,0.697595568920177,0.016344987563790676,2.8807
50,5,sqrt,5,10,0.6343364685854435,0.011634847884408382,0.697551457215041,0.015814467423057355,2.969
50,5,sqrt,10,1,0.6342362498440095,0.011914976176357903,0.6976426162349908,0.01602077847144836,2.916
50,5,sqrt,10,2,0.6343598177516809,0.011918513778323477,0.6975261021624671,0.01607914547449877,2.8388
50,5,sqrt,10,5,0.6342840961479088,0.012210922969364865,0.697595568920177,0.01634498756379069,2.7535
50,5,sqrt,10,10,0.6343364685854435,0.011634847884408406,0.697551457215041,0.015814467423057386,2.8819
50,5,sqrt,20,1,0.6345252903316816,0.011727655472841356,0.6973687185137505,0.015846251694986886,2.8781
50,5,sqrt,20,2,0.6346333287387594,0.011748270839426367,0.6972669261232237,0.01592554693202295,2.8295
50,5,sqrt,20,5,0.6345379761338211,0.011818031464991273,0.6973569465121825,0.015969830000477782,2.876
50,5,sqrt,20,10,0.6343364685854436,0.011634847884408425,0.697551457215041,0.01581446742305738,2.7984
50,5,log2,2,1,0.6637571762939137,0.013124453855890417,0.6688736323050495,0.017629651513631526,3.6851
50,5,log2,2,2,0.6636597714931042,0.013196624780800833,0.6689666194953348,0.01759616770478039,3.7123
50,5,log2,2,5,0.6638027109479205,0.012949474766277497,0.6688309994370171,0.017476293384813598,3.7559
