parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,6389.0,0.0,True
n_estimators,50,200,2623.0,0.0,True
n_estimators,50,500,2887.0,0.0,True
n_estimators,100,200,4157.0,0.0,True
n_estimators,100,500,1245.0,0.0,True
n_estimators,200,500,3583.0,0.0,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,0.0,0.0,True
max_depth,10.0,nan,0.0,0.0,True
max_depth,20.0,nan,10282.0,0.0,True
max_features,0.5,1.0,0.0,0.0,True
max_features,0.5,log2,15932.0,0.6635,False
max_features,0.5,sqrt,10.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,5184.0,0.0,True
max_features,log2,sqrt,0.0,0.0,True
min_samples_split,2,5,2288.0,0.0,True
min_samples_split,2,10,687.0,0.0,True
min_samples_split,2,20,577.5,0.0,True
min_samples_split,5,10,505.0,0.0,True
min_samples_split,5,20,479.5,0.0,True
min_samples_split,10,20,505.0,0.0,True
min_samples_leaf,1,2,12322.0,0.0005,True
min_samples_leaf,1,5,4481.0,0.0,True
min_samples_leaf,1,10,475.0,0.0,True
min_samples_leaf,2,5,2874.0,0.0,True
min_samples_leaf,2,10,280.0,0.0,True
min_samples_leaf,5,10,36.0,0.0,True
