rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,500,,0.5,2,1,0.7610493521998312,0.0061772005133934,0.7726,0.0067852781814749,31.4925
2,200,,0.5,2,1,0.758895570912178,0.0079139600719003,0.7703,0.0080006249755878,11.2014
3,100,,0.5,2,1,0.7588643049264243,0.0061343258763779,0.7698,0.0063055531081737,5.8825
4,500,,0.5,5,1,0.7572967332829234,0.0064770705822814,0.7699,0.0070632853545641,30.9666
5,500,,sqrt,2,1,0.7572210180039343,0.0111217078613546,0.7709,0.0107466273779265,15.6584
6,200,,sqrt,2,1,0.7568393135479432,0.0125493821689697,0.7700000000000001,0.0123612297122899,6.2686
7,100,,sqrt,2,1,0.7566522927113766,0.0129692639058047,0.7693000000000001,0.012458330546265,2.8702
8,50,,0.5,2,1,0.7565880206243262,0.0082660119962261,0.7676000000000001,0.0084876380695691,9.6848
9,500,,log2,2,1,0.7564673665603253,0.0117683827625442,0.7708,0.0114,13.0312
10,50,,sqrt,2,1,0.75552234927837,0.0107420514105467,0.7678999999999999,0.0108392804189208,4.4373
