rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,500,10.0,0.5,10,1,0.7658981781193908,0.0387826933446895,0.784,0.0303973683071413,16.2966
2,500,20.0,0.5,5,2,0.7636554567010643,0.0312149043985925,0.7809999999999999,0.0238537208837531,14.4552
3,500,10.0,0.5,5,1,0.762153291396372,0.0312613178305265,0.78,0.0244948974278318,14.9509
4,500,,0.5,5,2,0.7620009698894037,0.0330422111289443,0.779,0.0258650343127551,13.9818
5,500,,0.5,10,1,0.7616334347478115,0.0296203734912834,0.779,0.023,13.2784
6,200,,1.0,10,2,0.761229539610836,0.03257226135076,0.776,0.0257681974534502,26.9768
7,200,20.0,1.0,10,2,0.761229539610836,0.03257226135076,0.776,0.0257681974534502,33.1074
8,200,,0.5,5,2,0.7611405212908117,0.0258981480871756,0.778,0.0198997487421323,39.502
9,500,10.0,1.0,10,1,0.7610194018306584,0.0345487596796873,0.774,0.0287054001888146,18.4006
10,500,10.0,1.0,2,1,0.7609039454129658,0.0334515470184209,0.773,0.0286530975637888,16.7829
