n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
50,,sqrt,2,1,0.7371433213002495,0.034703946507429556,0.756,0.028000000000000025,0.901
50,,sqrt,2,2,0.7328543078471315,0.027575916013577943,0.756,0.021071307505705496,0.8907
50,,sqrt,2,5,0.7232277069041351,0.03585497861652359,0.7539999999999999,0.03039736830714135,0.9227
50,,sqrt,2,10,0.7180428019383486,0.031416230856200336,0.754,0.029393876913398165,0.9237
50,,sqrt,5,1,0.7338860635669224,0.036325360884895214,0.758,0.028913664589601942,0.953
50,,sqrt,5,2,0.7273364089876897,0.033890817970072866,0.7539999999999999,0.02764054992217053,0.915
50,,sqrt,5,5,0.7232277069041351,0.03585497861652359,0.7539999999999999,0.03039736830714135,0.9031
50,,sqrt,5,10,0.7180428019383486,0.031416230856200336,0.754,0.029393876913398165,0.881
50,,sqrt,10,1,0.733244156154362,0.0347988761337015,0.758,0.027495454169735065,0.8761
50,,sqrt,10,2,0.7394252242214578,0.03240216812880164,0.766,0.024979991993593614,0.8753
50,,sqrt,10,5,0.7232277069041351,0.03585497861652359,0.7539999999999999,0.03039736830714135,0.8629
50,,sqrt,10,10,0.7180428019383486,0.031416230856200336,0.754,0.029393876913398165,0.8642
50,,sqrt,20,1,0.7256213100508025,0.04422653566519481,0.756,0.03555277766926237,0.8912
50,,sqrt,20,2,0.7242097406050403,0.030394379199464833,0.7539999999999999,0.025768197453450273,0.9048
50,,sqrt,20,5,0.7138918247460031,0.03167381498072958,0.748,0.026000000000000023,0.9086
50,,sqrt,20,10,0.7180428019383486,0.031416230856200336,0.754,0.029393876913398165,0.9056
50,,log2,2,1,0.7371433213002495,0.034703946507429556,0.756,0.028000000000000025,0.8674
50,,log2,2,2,0.7328543078471315,0.027575916013577943,0.756,0.021071307505705496,0.872
50,,log2,2,5,0.7232277069041351,0.03585497861652359,0.7539999999999999,0.03039736830714135,0.8935
50,,log2,2,10,0.7180428019383486,0.031416230856200336,0.754,0.029393876913398165,0.8948
50,,log2,5,1,0.7338860635669224,0.036325360884895214,0.758,0.028913664589601942,0.9244
50,,log2,5,2,0.7273364089876897,0.033890817970072866,0.7539999999999999,0.02764054992217053,0.9409
50,,log2,5,5,0.7232277069041351,0.03585497861652359,0.7539999999999999,0.03039736830714135,0.9063
50,,log2,5,10,0.7180428019383486,0.031416230856200336,0.754,0.029393876913398165,0.9138
50,,log2,10,1,0.733244156154362,0.0347988761337015,0.758,0.027495454169735065,0.9301
50,,log2,10,2,0.7394252242214578,0.03240216812880164,0.766,0.024979991993593614,0.9017
50,,log2,10,5,0.7232277069041351,0.03585497861652359,0.7539999999999999,0.03039736830714135,0.8922
50,,log2,10,10,0.7180428019383486,0.031416230856200336,0.754,0.029393876913398165,1.1305
50,,log2,20,1,0.7256213100508025,0.04422653566519481,0.756,0.03555277766926237,1.7839
50,,log2,20,2,0.7242097406050403,0.030394379199464833,0.7539999999999999,0.025768197453450273,2.0152
50,,log2,20,5,0.7138918247460031,0.03167381498072958,0.748,0.026000000000000023,1.8966
50,,log2,20,10,0.7180428019383486,0.031416230856200336,0.754,0.029393876913398165,15.7437
50,,0.5,2,1,0.7537166212631149,0.024562273735727145,0.768,0.018867962264113223,9.0556
50,,0.5,2,2,0.7547085027252809,0.03930020612703763,0.7689999999999999,0.032695565448543656,15.8883
50,,0.5,2,5,0.7386023480289039,0.021214304814731997,0.758,0.015362291495737231,8.8865
50,,0.5,2,10,0.733837900393123,0.02854036441152309,0.754,0.023748684174075857,15.6693
50,,0.5,5,1,0.7581824066868185,0.0267561182806261,0.7729999999999999,0.02100000000000002,9.0414
50,,0.5,5,2,0.7541276028233754,0.027091271363058906,0.769,0.020712315177207997,9.5341
50,,0.5,5,5,0.7386023480289039,0.021214304814731997,0.758,0.015362291495737231,3.4716
