parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,7203.0,0.0,True
n_estimators,50,200,9111.0,0.0,True
n_estimators,50,500,9558.0,0.0,True
n_estimators,100,200,14969.0,0.2123,False
n_estimators,100,500,16091.0,0.7634,False
n_estimators,200,500,15099.0,0.2553,False
max_depth,5.0,10.0,33.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,13523.0,0.037,True
max_depth,10.0,nan,13769.0,0.061,False
max_depth,20.0,nan,445.0,0.4131,False
max_features,0.5,1.0,4175.0,0.0,True
max_features,0.5,log2,0.0,0.0,True
max_features,0.5,sqrt,0.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,0.0,,False
min_samples_split,2,5,3587.0,0.2511,False
min_samples_split,2,10,3063.0,0.0113,True
min_samples_split,2,20,2468.0,0.0,True
min_samples_split,5,10,3011.0,0.0079,True
min_samples_split,5,20,2321.0,0.0,True
min_samples_split,10,20,2467.0,0.0,True
min_samples_leaf,1,2,14716.0,0.1441,False
min_samples_leaf,1,5,268.0,0.0,True
min_samples_leaf,1,10,0.0,0.0,True
min_samples_leaf,2,5,265.0,0.0,True
min_samples_leaf,2,10,3.0,0.0,True
min_samples_leaf,5,10,761.0,0.0,True
