rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
1,50,,0.5,2,10,0.4455610173671308,0.1142524851867085,55.94444870085708,4.651989374816425,8.541
2,50,,0.5,5,10,0.4455610173671308,0.1142524851867085,55.94444870085708,4.651989374816422,7.3725
3,50,,0.5,10,10,0.4455610173671308,0.1142524851867086,55.94444870085708,4.651989374816424,8.4939
4,50,,0.5,20,10,0.4455610173671308,0.1142524851867086,55.94444870085708,4.651989374816421,7.185
5,50,10.0,0.5,2,10,0.4455610173671308,0.1142524851867086,55.94444870085708,4.651989374816425,4.2566
6,50,10.0,0.5,5,10,0.4455610173671308,0.1142524851867086,55.94444870085708,4.651989374816421,4.4918
7,50,10.0,0.5,10,10,0.4455610173671308,0.1142524851867085,55.94444870085708,4.651989374816421,4.4173
8,50,10.0,0.5,20,10,0.4455610173671308,0.1142524851867086,55.94444870085708,4.651989374816419,4.5001
9,50,20.0,0.5,2,10,0.4455610173671308,0.1142524851867086,55.94444870085708,4.651989374816426,10.0524
10,50,20.0,0.5,5,10,0.4455610173671308,0.1142524851867085,55.94444870085708,4.651989374816421,11.7111
