parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,8286.0,0.0,True
n_estimators,50,200,5577.0,0.0,True
n_estimators,50,500,1151.0,0.0,True
n_estimators,100,200,8475.0,0.0,True
n_estimators,100,500,1592.0,0.0,True
n_estimators,200,500,1865.0,0.0,True
max_depth,5.0,10.0,12456.0,0.0008,True
max_depth,5.0,20.0,12034.0,0.0002,True
max_depth,5.0,nan,12078.0,0.0002,True
max_depth,10.0,20.0,9346.5,0.0003,True
max_depth,10.0,nan,9011.0,0.0003,True
max_depth,20.0,nan,4119.5,0.5357,False
max_features,0.5,1.0,162.0,0.0,True
max_features,0.5,log2,7061.0,0.0,True
max_features,0.5,sqrt,7061.0,0.0,True
max_features,1.0,log2,332.0,0.0,True
max_features,1.0,sqrt,332.0,0.0,True
max_features,log2,sqrt,2366.0,0.8239,False
min_samples_split,2,5,5501.0,0.0007,True
min_samples_split,2,10,1611.0,0.0,True
min_samples_split,2,20,4143.5,0.0,True
min_samples_split,5,10,3386.5,0.0,True
min_samples_split,5,20,5493.5,0.0,True
min_samples_split,10,20,8183.5,0.0,True
min_samples_leaf,1,2,4280.0,0.0,True
min_samples_leaf,1,5,605.0,0.0,True
min_samples_leaf,1,10,374.0,0.0,True
min_samples_leaf,2,5,2250.0,0.0,True
min_samples_leaf,2,10,1234.0,0.0,True
min_samples_leaf,5,10,4129.0,0.0,True
