rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,200,,log2,2,1,0.9810832542582628,0.0080178286886336,0.9810769708255742,0.0079603106110679,35.1139
2,200,20.0,log2,2,1,0.9810832542582628,0.0080178286886336,0.9810769708255742,0.0079603106110679,28.0734
3,500,,sqrt,2,1,0.979875583511806,0.006754580390081,0.9799627560521416,0.0066793120675297,10.5319
4,500,20.0,sqrt,2,1,0.979875583511806,0.006754580390081,0.9799627560521416,0.0066793120675297,14.8014
5,100,,log2,2,1,0.9794734444741476,0.0086007831797726,0.979407200496586,0.0086439335907168,5.1608
6,100,20.0,log2,2,1,0.9794734444741476,0.0086007831797726,0.979407200496586,0.0086439335907168,31.8476
7,500,10.0,log2,2,1,0.9788793272207522,0.0078195051330452,0.9788485412787088,0.007803723648236,14.4787
8,100,,sqrt,2,1,0.9788635641779844,0.0077551476872581,0.9788578522656736,0.0077735038041948,4.3037
9,100,20.0,sqrt,2,1,0.9788635641779844,0.0077551476872581,0.9788578522656736,0.0077735038041948,33.5967
10,200,10.0,log2,2,1,0.9788177281542758,0.0090352524969717,0.9788454376163872,0.008929438768827,5.5472
