n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
50,,sqrt,2,1,0.9777364802105953,0.007915580716739892,0.9777374301675978,0.007885514262223692,0.887
50,,sqrt,2,2,0.9743998267255456,0.006635427663092449,0.9744009931719428,0.006671138601879303,0.9074
50,,sqrt,2,5,0.9638063329739264,0.012107305588469394,0.9638299193047797,0.011982437553010048,0.899
50,,sqrt,2,10,0.9488008377598491,0.015622743450151402,0.9487988826815641,0.015501338017142343,0.9396
50,,sqrt,5,1,0.9772066178636939,0.00584531284007533,0.9771818746120422,0.005811491463973466,0.9103
50,,sqrt,5,2,0.9704972263656615,0.006773626184082244,0.9705058969584108,0.006605670425761223,0.9063
50,,sqrt,5,5,0.9638063329739264,0.012107305588469394,0.9638299193047797,0.011982437553010048,0.9416
50,,sqrt,5,10,0.9488008377598491,0.015622743450151402,0.9487988826815641,0.015501338017142343,0.9305
50,,sqrt,10,1,0.9693801459405922,0.010440692361812495,0.9693947858472998,0.01032262831002109,1.0042
50,,sqrt,10,2,0.9699128605281737,0.009120452969105007,0.9699441340782122,0.009059177229796501,0.9179
50,,sqrt,10,5,0.9638063329739264,0.012107305588469394,0.9638299193047797,0.011982437553010048,0.9044
50,,sqrt,10,10,0.9488008377598491,0.015622743450151402,0.9487988826815641,0.015501338017142343,0.8806
50,,sqrt,20,1,0.9633858371348649,0.013229353665548121,0.9632712600869026,0.013212383459230674,0.8819
50,,sqrt,20,2,0.9594572748321151,0.013551039707974347,0.9593730602110491,0.013403236795843172,0.8936
50,,sqrt,20,5,0.9544174607655117,0.012625531530631671,0.9543544382371196,0.012690336312002497,0.8829
50,,sqrt,20,10,0.9488008377598491,0.015622743450151402,0.9487988826815641,0.015501338017142343,0.8874
50,,log2,2,1,0.9738023281777941,0.01067366258159766,0.9738454376163872,0.01056264387131398,0.8984
50,,log2,2,2,0.9666025898610879,0.013799146443245916,0.9666139044072004,0.013607264428946022,0.9062
50,,log2,2,5,0.962783005120119,0.01340223005018647,0.9627250155183115,0.013374717738300642,0.916
50,,log2,2,10,0.9520337532856923,0.015145469344008932,0.9521353196772191,0.014987345938113144,0.9157
50,,log2,5,1,0.97055393347219,0.00976428080807464,0.9705058969584108,0.009648148047753364,0.9109
50,,log2,5,2,0.9705008141569718,0.01116199170791671,0.9705090006207324,0.011127569139089232,0.8875
50,,log2,5,5,0.962783005120119,0.01340223005018647,0.9627250155183115,0.013374717738300642,0.9098
50,,log2,5,10,0.9520337532856923,0.015145469344008932,0.9521353196772191,0.014987345938113144,0.9679
50,,log2,10,1,0.9704317413117722,0.013257402916371017,0.9705090006207324,0.013155500185784555,0.9259
50,,log2,10,2,0.967719853864249,0.013748112765593463,0.9677312228429547,0.013555417426387174,0.9433
50,,log2,10,5,0.962783005120119,0.01340223005018647,0.9627250155183115,0.013374717738300642,0.9213
50,,log2,10,10,0.9520337532856923,0.015145469344008932,0.9521353196772191,0.014987345938113144,0.9242
50,,log2,20,1,0.9644101475658298,0.010493554123495,0.9643823711980136,0.01032789701715983,0.893
50,,log2,20,2,0.962664818460507,0.009015695323666634,0.9627157045313469,0.00898348129449767,0.9046
50,,log2,20,5,0.9589759758633475,0.01319524514818738,0.9588330229671012,0.013393474921258836,0.8966
50,,log2,20,10,0.9520337532856923,0.015145469344008932,0.9521353196772191,0.014987345938113144,1.2875
50,,0.5,2,1,0.9660481983014775,0.011959043781195155,0.9660738671632526,0.01200682927655796,2.0159
50,,0.5,2,2,0.9591598726221479,0.01278177648944156,0.9593885785226567,0.012651954876483852,1.973
50,,0.5,2,5,0.9531905792892038,0.015737675953856254,0.9532712600869024,0.01552034251142667,9.0166
50,,0.5,2,10,0.9323020834381424,0.021138772790871643,0.9326784605834885,0.020533331009846126,8.8709
50,,0.5,5,1,0.963190791415178,0.009112918398831889,0.9632805710738671,0.008997992402902895,16.1045
50,,0.5,5,2,0.9670423395511083,0.011093411022061704,0.9671818746120422,0.010926400776040386,8.8551
50,,0.5,5,5,0.9531905792892038,0.015737675953856254,0.9532712600869024,0.01552034251142667,15.736
50,,0.5,5,10,0.9323020834381424,0.021138772790871643,0.9326784605834885,0.020533331009846126,8.8169
50,,0.5,10,1,0.9593430557527247,0.013945935701736715,0.9593916821849783,0.013810817475395943,15.8083
50,,0.5,10,2,0.9585338095277963,0.011238262942855699,0.9588268156424581,0.010864841524773955,3.2419
50,,0.5,10,5,0.9531905792892038,0.015737675953856254,0.9532712600869024,0.01552034251142667,3.9828
50,,0.5,10,10,0.9323020834381424,0.021138772790871643,0.9326784605834885,0.020533331009846126,2.5407
50,,0.5,20,1,0.9548218478850373,0.01621863808454998,0.9549410304158907,0.015964840762193306,2.6312
50,,0.5,20,2,0.9475542250239919,0.015402003777928417,0.9476939788950961,0.015150915058842744,4.2652
50,,0.5,20,5,0.9458044863925321,0.01574481985831271,0.9460242085661079,0.015319970542581331,2.5594
50,,0.5,20,10,0.9323020834381424,0.021138772790871643,0.9326784605834885,0.020533331009846126,3.111
50,,1.0,2,1,0.9514179287414581,0.015369214764499628,0.9516014897579144,0.015301616790015049,3.8304
50,,1.0,2,2,0.9508045870343486,0.014712650607260756,0.9510366232153942,0.014424353364490028,3.2394
50,,1.0,2,5,0.9343278279376385,0.01796348105375188,0.9343420235878336,0.017685120270116848,4.0968
50,,1.0,2,10,0.9102699859263931,0.019208979786061467,0.9104034761018003,0.01884779179553937,2.8805
50,,1.0,5,1,0.949798714736086,0.013710137316556029,0.9499224084419614,0.013598683268685918,4.3289
50,,1.0,5,2,0.9497285168875746,0.013836116921285528,0.9499286157666045,0.013575747166903986,2.9194
50,,1.0,5,5,0.9343278279376385,0.01796348105375188,0.9343420235878336,0.017685120270116848,3.6599
50,,1.0,5,10,0.9102699859263931,0.019208979786061467,0.9104034761018003,0.01884779179553937,3.2562
50,,1.0,10,1,0.943131785269219,0.01390673840292047,0.9432433271260086,0.013560021447338835,4.0513
50,,1.0,10,2,0.9430665479869564,0.01455935929898655,0.9432495344506517,0.014197735432375454,2.8024
50,,1.0,10,5,0.9343278279376385,0.01796348105375188,0.9343420235878336,0.017685120270116848,3.9705
50,,1.0,10,10,0.9102699859263931,0.019208979786061467,0.9104034761018003,0.01884779179553937,3.4511
50,,1.0,20,1,0.9343382100608881,0.0180444160836502,0.9343451272501552,0.017857612107546623,3.2889
50,,1.0,20,2,0.9336472557031822,0.015973045492653735,0.9337957790192426,0.015748732826658614,4.2949
50,,1.0,20,5,0.9259412129076043,0.01744323268244396,0.9259993792675356,0.017178164224890463,3.0015
50,,1.0,20,10,0.9102699859263931,0.019208979786061467,0.9104034761018003,0.01884779179553937,4.0977
50,5,sqrt,2,1,0.9348380316845002,0.014791669250472055,0.9348975791433892,0.014471111058370192,3.2511
50,5,sqrt,2,2,0.9374783300972552,0.014437948699491228,0.9376691495965238,0.014250718608972542,3.6117
50,5,sqrt,2,5,0.9369879007427526,0.011027561806556478,0.9371135940409683,0.01059195694334751,3.4467
50,5,sqrt,2,10,0.929846339068536,0.010382431522929494,0.9298882681564246,0.010279327734746149,2.551
50,5,sqrt,5,1,0.9342851638707451,0.022425000906123857,0.9343358162631905,0.02233213496783491,2.8071
50,5,sqrt,5,2,0.9364951342640719,0.016458542425748755,0.9365549348230913,0.016355727984309912,3.8502
50,5,sqrt,5,5,0.9369879007427526,0.011027561806556478,0.9371135940409683,0.01059195694334751,2.695
50,5,sqrt,5,10,0.929846339068536,0.010382431522929494,0.9298882681564246,0.010279327734746149,2.8337
50,5,sqrt,10,1,0.9398573320241761,0.01903453104593209,0.9399099937926753,0.018859975314769514,3.7304
50,5,sqrt,10,2,0.9370562031051731,0.017746078567765774,0.9371322160148976,0.017354719493831234,2.5986
50,5,sqrt,10,5,0.9369879007427526,0.011027561806556478,0.9371135940409683,0.01059195694334751,2.8574
50,5,sqrt,10,10,0.929846339068536,0.010382431522929494,0.9298882681564246,0.010279327734746149,4.1335
50,5,sqrt,20,1,0.9353406326580396,0.01348326105489392,0.9354500310366232,0.012947494209006106,2.385
50,5,sqrt,20,2,0.9315649535021248,0.010036265239511883,0.9315549348230912,0.009624296720395636,3.74
50,5,sqrt,20,5,0.9288809421756754,0.012119803461638167,0.9287709497206704,0.01159520102000163,2.6513
50,5,sqrt,20,10,0.929846339068536,0.010382431522929494,0.9298882681564246,0.010279327734746149,3.2843
50,5,log2,2,1,0.939655289705932,0.017009400664438998,0.9398851644941029,0.016702349195256806,3.2112
50,5,log2,2,2,0.9384779952781314,0.014453526320365269,0.9387771570453134,0.014324167925629652,2.6743
