parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,3113.0,0.0,True
n_estimators,50,200,673.0,0.0,True
n_estimators,50,500,137.0,0.0,True
n_estimators,100,200,3783.0,0.0,True
n_estimators,100,500,1497.0,0.0,True
n_estimators,200,500,7344.0,0.0,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,6520.0,0.0,True
max_depth,10.0,nan,6502.0,0.0,True
max_depth,20.0,nan,0.0,0.3173,False
max_features,0.5,1.0,0.0,0.0,True
max_features,0.5,log2,0.0,0.0,True
max_features,0.5,sqrt,0.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,12279.0,0.0004,True
min_samples_split,2,5,1917.0,0.0,True
min_samples_split,2,10,533.0,0.0,True
min_samples_split,2,20,38.0,0.0,True
min_samples_split,5,10,706.0,0.0,True
min_samples_split,5,20,33.0,0.0,True
min_samples_split,10,20,36.0,0.0,True
min_samples_leaf,1,2,4023.0,0.0,True
min_samples_leaf,1,5,381.0,0.0,True
min_samples_leaf,1,10,8.0,0.0,True
min_samples_leaf,2,5,555.0,0.0,True
min_samples_leaf,2,10,10.0,0.0,True
min_samples_leaf,5,10,106.0,0.0,True
