rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
1,500,,1.0,2,1,0.841611189443195,0.0109011104113516,0.0026672678214181,0.0001048855288476,295.5719
2,500,20.0,1.0,2,1,0.841584199382709,0.0107616189830996,0.0026675597399242,0.0001040437181847,250.7285
3,500,,1.0,2,2,0.8408735325184489,0.0111618735371375,0.0026733368506496,0.0001038063633311,267.1747
4,500,20.0,1.0,2,2,0.8407344709812602,0.011111542987655,0.0026745239294336,0.0001033779403227,230.3926
5,200,20.0,1.0,2,1,0.8406454225456297,0.0110792213498437,0.0026753088937351,0.0001047826818062,134.8139
6,200,,1.0,2,1,0.8403634896819607,0.0110474498354744,0.0026776946197604,0.0001047258396909,35.5708
7,500,,1.0,5,2,0.8402752472399608,0.0111158013818794,0.0026783535251734,0.0001025773810598,255.1226
8,500,,1.0,5,1,0.8402046785399149,0.0108730718788074,0.002679087299772,0.0001035796613098,282.6128
9,500,20.0,1.0,5,2,0.8401765044316019,0.0111891536543204,0.0026791605137289,0.0001031504881212,233.7771
10,500,20.0,1.0,5,1,0.8401090564034558,0.0110106517211938,0.0026798208662343,0.0001036453022681,246.8859
