n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
50,,sqrt,2,1,0.7886215842964905,0.014975198289195647,0.0030802857912902567,9.372231813803838e-05,2.7711
50,,sqrt,2,2,0.780797033204635,0.014113952100749635,0.0031377563220929957,0.00010519752257868134,2.2932
50,,sqrt,2,5,0.7621883949629191,0.015953037464617965,0.003268378440066324,0.00012204003687081652,1.8365
50,,sqrt,2,10,0.7332389782660798,0.016703906976558054,0.0034624566608494668,0.00013931438372690553,1.6376
50,,sqrt,5,1,0.7880717274984675,0.014390145267152064,0.003085150240271755,0.00011117980126545609,2.4072
50,,sqrt,5,2,0.7824456412068572,0.013735611959990653,0.0031266592057339823,0.00012068985254299454,2.4676
50,,sqrt,5,5,0.762188394962919,0.01595303746461797,0.0032683784400663247,0.00012204003687081668,3.2672
50,,sqrt,5,10,0.7332389782660795,0.01670390697655806,0.0034624566608494668,0.00013931438372690548,6.6969
50,,sqrt,10,1,0.776789377912982,0.015802947534655772,0.003165760630694475,0.00010822938040376255,7.6837
50,,sqrt,10,2,0.77580728116651,0.015740952348562123,0.0031730103489977938,0.00011911764250199558,6.777
50,,sqrt,10,5,0.762188394962919,0.015953037464617962,0.0032683784400663247,0.00012204003687081669,7.1269
50,,sqrt,10,10,0.7332389782660795,0.016703906976558068,0.0034624566608494668,0.0001393143837269055,6.1536
50,,sqrt,20,1,0.7614505135605268,0.014291260186448695,0.003274064371251755,0.00011761793356160977,6.1709
50,,sqrt,20,2,0.7558592260609778,0.01425519747823889,0.0033119181830912003,0.00010720880944404237,6.5457
50,,sqrt,20,5,0.7489260893260841,0.015477213021022736,0.0033583247463162325,0.00011134016445859734,6.7783
50,,sqrt,20,10,0.7332389782660795,0.016703906976558068,0.0034624566608494668,0.0001393143837269054,5.6121
50,,log2,2,1,0.7886215842964905,0.014975198289195663,0.0030802857912902567,9.372231813803836e-05,9.7974
50,,log2,2,2,0.780797033204635,0.014113952100749576,0.0031377563220929957,0.00010519752257868122,8.5184
50,,log2,2,5,0.762188394962919,0.01595303746461797,0.0032683784400663247,0.00012204003687081665,7.4981
50,,log2,2,10,0.7332389782660795,0.016703906976558068,0.0034624566608494668,0.0001393143837269055,6.9231
50,,log2,5,1,0.7880717274984675,0.014390145267152087,0.0030851502402717557,0.00011117980126545603,9.9398
50,,log2,5,2,0.7824456412068572,0.01373561195999062,0.0031266592057339823,0.00012068985254299458,8.8127
50,,log2,5,5,0.762188394962919,0.015953037464617976,0.0032683784400663247,0.00012204003687081668,7.252
50,,log2,5,10,0.7332389782660795,0.016703906976558068,0.0034624566608494668,0.00013931438372690556,7.2662
50,,log2,10,1,0.776789377912982,0.015802947534655755,0.003165760630694475,0.00010822938040376262,7.3493
50,,log2,10,2,0.77580728116651,0.01574095234856212,0.0031730103489977938,0.00011911764250199558,7.1362
50,,log2,10,5,0.762188394962919,0.015953037464617955,0.0032683784400663247,0.00012204003687081654,7.2512
50,,log2,10,10,0.7332389782660795,0.016703906976558068,0.0034624566608494668,0.0001393143837269056,6.8216
50,,log2,20,1,0.7614505135605268,0.014291260186448693,0.003274064371251755,0.00011761793356160978,6.9995
50,,log2,20,2,0.7558592260609778,0.014255197478238906,0.0033119181830912003,0.00010720880944404228,7.6828
50,,log2,20,5,0.7489260893260841,0.015477213021022758,0.0033583247463162325,0.00011134016445859734,7.4458
50,,log2,20,10,0.7332389782660795,0.016703906976558068,0.0034624566608494668,0.0001393143837269055,6.4243
50,,0.5,2,1,0.831899918003851,0.010955512644127528,0.002747831422739083,9.614065897622951e-05,16.409
50,,0.5,2,2,0.8299738771893918,0.013543484496748553,0.0027626081834013104,0.00011080808737317056,13.1629
50,,0.5,2,5,0.818655928881657,0.011294955307152285,0.002854658413973297,0.000109915053779236,10.8252
50,,0.5,2,10,0.7972159980874891,0.012790159805964058,0.0030186999941499574,0.00011942174836883964,9.0525
50,,0.5,5,1,0.8307182787376013,0.011770286609373825,0.0027575116929604007,0.00011076241516720924,14.5159
50,,0.5,5,2,0.8299062075793222,0.011302634477424429,0.0027641768735482608,0.00010202368782892326,12.6476
50,,0.5,5,5,0.818655928881657,0.011294955307152275,0.002854658413973297,0.00010991505377923602,10.366
50,,0.5,5,10,0.7972159980874891,0.01279015980596406,0.0030186999941499574,0.00011942174836883951,8.3785
50,,0.5,10,1,0.8259263129339679,0.01045393800574019,0.002796982228640406,0.0001071860440487491,12.5613
50,,0.5,10,2,0.8251358639028146,0.012378447296271534,0.0028026426429502396,0.00011495487370406435,11.9222
50,,0.5,10,5,0.818655928881657,0.011294955307152273,0.002854658413973297,0.00010991505377923601,10.6093
50,,0.5,10,10,0.7972159980874891,0.01279015980596406,0.0030186999941499574,0.00011942174836883951,3.1083
50,,0.5,20,1,0.8122261684939109,0.012458890716775452,0.0029043724555982533,0.00011159597201522817,3.095
50,,0.5,20,2,0.8124066067557246,0.011332843925205055,0.0029032924288967853,0.00010413334415373081,2.8516
50,,0.5,20,5,0.8062409946102616,0.01198728749549233,0.0029501740291753634,9.783619139446007e-05,2.6431
50,,0.5,20,10,0.7972159980874891,0.01279015980596406,0.0030186999941499574,0.00011942174836883943,2.4553
50,,1.0,2,1,0.8374971012497564,0.011646198281518238,0.0027012803507186077,0.00010347205072843769,13.9391
50,,1.0,2,2,0.8370277555283081,0.011446085268138305,0.0027051646699737886,9.74962744259551e-05,18.3726
50,,1.0,2,5,0.8270845081791249,0.011894318206347121,0.0027865835598858803,0.00010003113494474607,5.2325
50,,1.0,2,10,0.8086894077455163,0.01161679149051696,0.002931559178605666,9.623491963175795e-05,4.4141
50,,1.0,5,1,0.8363134211782295,0.011542333236600793,0.002711138720980566,0.00010202262847599636,20.9846
50,,1.0,5,2,0.8365470220834762,0.01148794287194417,0.0027091707901123934,9.842282658041108e-05,24.7726
50,,1.0,5,5,0.8270845081791249,0.011894318206347114,0.0027865835598858803,0.00010003113494474607,20.3296
50,,1.0,5,10,0.8086894077455163,0.011616791490516953,0.002931559178605666,9.623491963175786e-05,19.2615
50,,1.0,10,1,0.8321707444749746,0.011848643998910963,0.0027451342756968262,0.00010124369551853982,24.552
50,,1.0,10,2,0.8324074651610124,0.011889600162372416,0.002743053551972554,9.666652700229624e-05,22.397
50,,1.0,10,5,0.8270845081791249,0.011894318206347114,0.0027865835598858803,0.00010003113494474596,21.3797
50,,1.0,10,10,0.8086894077455163,0.011616791490516936,0.002931559178605666,9.623491963175794e-05,17.812
50,,1.0,20,1,0.8208084189383186,0.012599995004026856,0.0028363677606671207,9.986683029874964e-05,20.1356
50,,1.0,20,2,0.8208216991558774,0.012580759050905312,0.00283620326598531,9.662576850825278e-05,21.3513
50,,1.0,20,5,0.8177478836136378,0.012574777656533986,0.0028606766637207883,0.00010025767363898438,18.0737
50,,1.0,20,10,0.8086894077455163,0.01161679149051694,0.002931559178605666,9.623491963175786e-05,17.2202
50,5,sqrt,2,1,0.5817225271289665,0.021944474843072742,0.004336348695123839,0.0001562167568669083,7.9863
50,5,sqrt,2,2,0.582644211984418,0.021663318674496324,0.004331549323302424,0.00015340758250240538,7.9829
50,5,sqrt,2,5,0.5821259675053798,0.02084551045485174,0.0043349125539404645,0.00016623350619707084,6.9455
50,5,sqrt,2,10,0.5810709499276772,0.02082496225858618,0.004340207945578491,0.0001610023475119299,8.03
50,5,sqrt,5,1,0.5811729377899851,0.021557552972638325,0.0043393532476937845,0.00015700970979162288,8.117
50,5,sqrt,5,2,0.5820179500563097,0.02160961986034551,0.004334920841390815,0.00015610822440344723,9.6147
50,5,sqrt,5,5,0.5821259675053798,0.020845510454851748,0.004334912553940466,0.00016623350619707076,13.4241
50,5,sqrt,5,10,0.5810709499276772,0.02082496225858616,0.004340207945578491,0.00016100234751192973,11.5534
50,5,sqrt,10,1,0.5806251412515808,0.02096536732569989,0.004342786687706163,0.00016931793661542082,14.3643
50,5,sqrt,10,2,0.5811634912029272,0.020708041988847816,0.004340043649458015,0.00016870975823964285,11.7803
50,5,sqrt,10,5,0.5821259675053798,0.020845510454851713,0.004334912553940466,0.0001662335061970706,13.5023
50,5,sqrt,10,10,0.5810709499276772,0.02082496225858617,0.004340207945578491,0.0001610023475119298,15.5298
50,5,sqrt,20,1,0.5804071726293641,0.020380085920423036,0.004344157830772317,0.00017153619418223718,13.7742
50,5,sqrt,20,2,0.5804670274672711,0.020443974269208107,0.004343824642012838,0.00017118196252125783,13.4205
50,5,sqrt,20,5,0.581122637177723,0.020626136572238822,0.004340148653390037,0.0001653204788601705,13.7496
50,5,sqrt,20,10,0.5810709499276772,0.02082496225858614,0.004340207945578491,0.00016100234751192978,11.3891
50,5,log2,2,1,0.5817225271289665,0.021944474843072766,0.00433634869512384,0.0001562167568669084,13.3995
50,5,log2,2,2,0.582644211984418,0.021663318674496317,0.004331549323302424,0.00015340758250240538,11.4746
50,5,log2,2,5,0.5821259675053798,0.020845510454851692,0.004334912553940466,0.00016623350619707062,13.6582
50,5,log2,2,10,0.5810709499276772,0.02082496225858614,0.004340207945578491,0.00016100234751192986,11.4111
50,5,log2,5,1,0.581172937789985,0.02155755297263832,0.0043393532476937845,0.00015700970979162288,13.4632
50,5,log2,5,2,0.5820179500563097,0.02160961986034548,0.004334920841390815,0.00015610822440344718,13.5496
50,5,log2,5,5,0.5821259675053798,0.0208455104548517,0.004334912553940466,0.0001662335061970706,11.2583
50,5,log2,5,10,0.5810709499276772,0.02082496225858617,0.004340207945578491,0.00016100234751192984,11.2453
50,5,log2,10,1,0.5806251412515808,0.020965367325699886,0.004342786687706163,0.00016931793661542077,11.5887
50,5,log2,10,2,0.5811634912029272,0.020708041988847774,0.004340043649458015,0.00016870975823964296,13.3448
