parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,11828.0,0.0001,True
n_estimators,50,200,5549.0,0.0,True
n_estimators,50,500,4827.0,0.0,True
n_estimators,100,200,168.0,0.0,True
n_estimators,100,500,676.0,0.0,True
n_estimators,200,500,7280.0,0.0,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,0.0,0.0,True
max_depth,10.0,nan,0.0,0.0,True
max_depth,20.0,nan,13918.0,0.0329,True
max_features,0.5,1.0,0.0,0.0,True
max_features,0.5,log2,0.0,0.0,True
max_features,0.5,sqrt,0.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,389.0,0.9879,False
min_samples_split,2,5,2301.5,0.0,True
min_samples_split,2,10,924.0,0.0,True
min_samples_split,2,20,530.0,0.0,True
min_samples_split,5,10,726.0,0.0,True
min_samples_split,5,20,459.5,0.0,True
min_samples_split,10,20,460.5,0.0,True
min_samples_leaf,1,2,10068.0,0.0,True
min_samples_leaf,1,5,2248.0,0.0,True
min_samples_leaf,1,10,829.0,0.0,True
min_samples_leaf,2,5,1967.0,0.0,True
min_samples_leaf,2,10,643.0,0.0,True
min_samples_leaf,5,10,332.0,0.0,True
