rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
1,50,10.0,0.5,5,1,0.8700802831024431,0.0603173029587898,27664.03811993116,5541.068904298604,1.9723
2,100,10.0,0.5,5,1,0.8684160863858459,0.0641145315483929,27782.58820525553,5958.632198882156,6.7192
3,50,20.0,0.5,2,1,0.8683775772616433,0.0643614936561109,27807.03318774813,5657.056225903404,11.4675
4,200,10.0,0.5,2,1,0.8675347260354991,0.0657861690274534,27856.15324950536,5954.149093994092,28.6695
5,50,,0.5,10,2,0.8675309937324925,0.0594218757771922,27976.865931272245,5580.594413679096,9.2885
6,50,20.0,0.5,10,2,0.867475624177839,0.0594712197383055,27979.74289190261,5593.122041060662,6.3526
7,200,20.0,0.5,2,1,0.8668370633828903,0.0704818560250573,27832.74831409152,6129.373179503499,15.5638
8,100,20.0,0.5,5,2,0.8668271485717426,0.0642481715007423,27979.959837369715,5884.360031101372,13.1866
9,500,20.0,0.5,2,1,0.8666189009686054,0.0706321699198459,27848.556350739043,6158.527517349649,45.6896
10,100,,0.5,5,2,0.86657026427327,0.0659534560295104,27979.252968222467,5929.88150376698,13.2485
