n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
50,,sqrt,2,1,0.8653831728801409,0.051520653569635096,28438.050714043136,5579.26700215999,6.4856
50,,sqrt,2,2,0.8602120648970665,0.04902977218624788,29030.017884229885,5427.751935487289,6.1813
50,,sqrt,2,5,0.8450515018354221,0.044952465051675584,30764.218810292972,5530.442940876576,6.5448
50,,sqrt,2,10,0.831506152363249,0.04471077180879439,32248.759110077157,6378.112070850127,5.8689
50,,sqrt,5,1,0.8566149761155873,0.056886655579770566,29270.66145914405,5926.662428901451,5.9948
50,,sqrt,5,2,0.8569913509187386,0.049808823621862036,29388.290980437945,5378.6325579007325,5.1637
50,,sqrt,5,5,0.8450515018354221,0.04495246505167557,30764.218810292972,5530.442940876576,6.6651
50,,sqrt,5,10,0.831506152363249,0.04471077180879436,32248.759110077157,6378.112070850124,6.2893
50,,sqrt,10,1,0.8601857121700321,0.04625118320072879,29160.656281543204,5665.884729869685,6.4739
50,,sqrt,10,2,0.8517183538075909,0.05355419047380616,29914.88629579147,5814.607484501862,5.2281
50,,sqrt,10,5,0.8450515018354221,0.04495246505167554,30764.21881029298,5530.442940876574,5.9661
50,,sqrt,10,10,0.831506152363249,0.044710771808794396,32248.759110077146,6378.112070850126,6.1168
50,,sqrt,20,1,0.8451963512500036,0.0428132071405071,30802.301238712906,5476.2255108880445,6.0771
50,,sqrt,20,2,0.8429585290646721,0.04293928477756608,31076.242157361376,5888.6291868414455,7.3453
50,,sqrt,20,5,0.8347528278878901,0.04451023500196799,31894.11351371403,6032.99484280315,6.2618
50,,sqrt,20,10,0.831506152363249,0.04471077180879436,32248.759110077157,6378.112070850123,6.5221
50,,log2,2,1,0.8578172790531591,0.038654798201997555,29502.413536672993,4969.7359606731625,6.6309
50,,log2,2,2,0.8492029624277422,0.0508333617256862,30227.058239245904,5882.955426029255,6.6839
50,,log2,2,5,0.8354746187193486,0.05156213350032987,31691.254565445688,6375.71226754521,7.6494
50,,log2,2,10,0.8132935182157214,0.04705176211196105,33951.86858981107,6399.536130526692,6.1416
50,,log2,5,1,0.8534716468064067,0.04916010960407907,29769.123333682375,5459.35731417868,6.6746
50,,log2,5,2,0.8527097346140042,0.04309777977070116,30014.35689053582,5564.05232961219,6.402
50,,log2,5,5,0.8354746187193486,0.051562133500329906,31691.254565445684,6375.712267545209,6.638
50,,log2,5,10,0.8132935182157214,0.047051762111961035,33951.86858981106,6399.53613052669,6.6933
50,,log2,10,1,0.8550473603351045,0.043966821019121034,29748.563599131925,5602.218948870581,6.4241
50,,log2,10,2,0.8459214479377396,0.04536941087073403,30663.629535525793,5538.885013548541,5.3836
50,,log2,10,5,0.8354746187193486,0.05156213350032988,31691.254565445688,6375.712267545209,6.5776
50,,log2,10,10,0.8132935182157212,0.047051762111961055,33951.86858981107,6399.536130526693,7.8718
50,,log2,20,1,0.8388551603844017,0.04582761852336084,31448.83369909376,6124.838625457983,6.3016
