parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,5618.0,0.0,True
n_estimators,50,200,9213.0,0.0,True
n_estimators,50,500,9159.0,0.0,True
n_estimators,100,200,14774.0,0.1581,False
n_estimators,100,500,13721.0,0.0215,True
n_estimators,200,500,15598.0,0.4735,False
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,6620.0,0.0,True
max_depth,10.0,nan,6966.0,0.0,True
max_depth,20.0,nan,5980.5,0.5139,False
max_features,0.5,1.0,0.0,0.0,True
max_features,0.5,log2,3.0,0.0,True
max_features,0.5,sqrt,15.0,0.0,True
max_features,1.0,log2,423.0,0.0,True
max_features,1.0,sqrt,11309.0,0.0,True
max_features,log2,sqrt,6.0,0.0,True
min_samples_split,2,5,3560.5,0.0001,True
min_samples_split,2,10,1343.0,0.0,True
min_samples_split,2,20,28.0,0.0,True
min_samples_split,5,10,2500.5,0.0,True
min_samples_split,5,20,183.0,0.0,True
min_samples_split,10,20,160.0,0.0,True
min_samples_leaf,1,2,9481.0,0.0,True
min_samples_leaf,1,5,10.0,0.0,True
min_samples_leaf,1,10,3.0,0.0,True
min_samples_leaf,2,5,12.0,0.0,True
min_samples_leaf,2,10,0.0,0.0,True
min_samples_leaf,5,10,54.0,0.0,True
