rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
1,500,,0.5,2,1,0.8267531837720459,0.0112921792683384,47997.76813142166,1872.7705939487275,87.0149
2,500,20.0,0.5,2,1,0.8267490640697087,0.0111498763339152,47998.826569119534,1852.200232886065,66.9571
3,500,,0.5,5,1,0.8262958347178451,0.0109903807749001,48061.95989220084,1820.784793764675,75.615
4,500,20.0,0.5,2,2,0.8260362855627287,0.0110945045782387,48097.56579712014,1836.204930144275,60.1231
5,500,,0.5,2,2,0.8258207509152863,0.0111677072735273,48127.09038435437,1842.859692019144,70.4066
6,500,20.0,0.5,5,1,0.8255293352232045,0.0109193837348068,48167.55330653169,1784.2751718484994,61.4307
7,500,,0.5,5,2,0.8254837669187525,0.0110917535441695,48174.02463666097,1832.1275157900343,68.2539
8,200,,0.5,2,1,0.825404549920475,0.0112762834900729,48185.63349587636,1888.492718059793,36.8289
9,500,,1.0,2,2,0.8253698361782271,0.0130507439484955,48180.98973335185,2105.569024309221,128.9231
10,500,20.0,1.0,2,2,0.8252762034184457,0.0130064068664084,48194.1852780592,2100.728720163217,106.0275
