n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
50,,sqrt,2,1,0.8015471356599384,0.010777846580569236,51379.62480562513,1754.0199028719837,8.6615
50,,sqrt,2,2,0.8010080028271052,0.010462659830970002,51449.258953799945,1684.6680946482402,8.4999
50,,sqrt,2,5,0.7895005284773431,0.010879009652861028,52918.51147870964,1781.1809988943494,7.6107
50,,sqrt,2,10,0.7743184572534271,0.011864213122809704,54792.31724002344,1843.7279593096825,6.8037
50,,sqrt,5,1,0.8009371655188511,0.009681332881791018,51458.69883632696,1530.1786261262355,7.5894
50,,sqrt,5,2,0.7998830273044907,0.010703772760140232,51594.08432226421,1726.0857705132014,8.0041
50,,sqrt,5,5,0.7895005284773433,0.010879009652861014,52918.51147870964,1781.1809988943508,7.0574
50,,sqrt,5,10,0.7743184572534271,0.01186421312280973,54792.31724002344,1843.7279593096835,6.7275
50,,sqrt,10,1,0.7963642976429272,0.011203850493771648,52043.315162270315,1745.017977558675,7.334
50,,sqrt,10,2,0.795735483004247,0.011808300690239902,52123.22027850288,1845.4997622812728,7.2287
50,,sqrt,10,5,0.7895005284773433,0.010879009652861022,52918.51147870964,1781.1809988943517,6.4237
50,,sqrt,10,10,0.7743184572534271,0.011864213122809704,54792.31724002344,1843.7279593096846,6.4264
50,,sqrt,20,1,0.7883223140185301,0.0099078901977037,53068.06113307578,1630.9972970024992,7.6557
50,,sqrt,20,2,0.7861175880876681,0.010698332450905314,53342.131052418576,1713.1945272323856,8.1185
50,,sqrt,20,5,0.7797468117173671,0.011187685006798549,54128.01171702172,1694.3692370070128,6.4427
50,,sqrt,20,10,0.7743184572534271,0.01186421312280973,54792.31724002344,1843.727959309684,7.0015
50,,log2,2,1,0.8159243650195733,0.011974754638294342,49474.6921710007,1912.6908610159549,9.9242
50,,log2,2,2,0.8149770207391349,0.011037297191499365,49605.176077992306,1769.1583789362778,9.6019
50,,log2,2,5,0.8070094077641663,0.011152193302456271,50665.77197399646,1838.642503929931,8.1455
50,,log2,2,10,0.7942850610595367,0.012214232335090345,52307.98507492711,1921.2648693367948,7.1686
50,,log2,5,1,0.8159234178795602,0.010603044627721507,49481.24777066555,1775.6888174048117,9.6844
50,,log2,5,2,0.8140873254555018,0.011768607486402323,49720.83208143708,1842.2281733008997,8.9776
50,,log2,5,5,0.8070094077641663,0.01115219330245626,50665.77197399647,1838.6425039299309,7.9747
50,,log2,5,10,0.7942850610595367,0.012214232335090353,52307.98507492711,1921.2648693367962,7.0668
50,,log2,10,1,0.8124205298907665,0.01144306790855824,49946.39888154845,1838.9468968736292,9.1373
50,,log2,10,2,0.8110785809210569,0.011943489013352036,50121.431942631105,1866.806971556334,8.4268
50,,log2,10,5,0.8070094077641663,0.01115219330245626,50665.77197399646,1838.64250392993,8.5084
50,,log2,10,10,0.7942850610595367,0.012214232335090346,52307.98507492711,1921.2648693367971,7.8715
50,,log2,20,1,0.8058541451355475,0.011279880171909663,50814.33196457326,1775.356829339292,9.684
50,,log2,20,2,0.8057690452512463,0.011757287759454907,50825.66710156227,1896.0190421433917,9.7231
50,,log2,20,5,0.8011714562515124,0.012078230084503924,51422.223891082394,1876.0545945421184,8.531
50,,log2,20,10,0.7942850610595367,0.012214232335090345,52307.98507492711,1921.2648693367962,9.7246
50,,0.5,2,1,0.8219241340719519,0.011976656648272183,48661.653019643025,1964.3975254352372,13.1555
50,,0.5,2,2,0.8218015880946853,0.011136146244433782,48679.79048210325,1815.7383787396338,10.9847
50,,0.5,2,5,0.8162475225170327,0.011600985040116635,49434.14361049381,1900.5205502243905,10.3745
50,,0.5,2,10,0.8026673742226442,0.013247055417361164,51226.641592011336,2098.989942780915,10.314
50,,0.5,5,1,0.822105639892772,0.010351014886489818,48641.44411220328,1718.5235267927758,11.8093
50,,0.5,5,2,0.8224949805900537,0.011013918090276666,48588.34463034622,1880.7882923705565,10.9227
50,,0.5,5,5,0.8162475225170327,0.01160098504011664,49434.14361049382,1900.520550224389,10.6706
50,,0.5,5,10,0.8026673742226441,0.013247055417361155,51226.641592011336,2098.9899427809155,9.6418
50,,0.5,10,1,0.8182661314184341,0.011421737065487714,49160.73652470766,1856.5269225173683,12.2454
50,,0.5,10,2,0.8188501005445973,0.010588779394947744,49085.24092694833,1762.1182919345845,13.4484
50,,0.5,10,5,0.8162475225170327,0.011600985040116658,49434.14361049381,1900.52055022439,12.1442
50,,0.5,10,10,0.8026673742226441,0.013247055417361132,51226.641592011336,2098.9899427809137,10.2186
50,,0.5,20,1,0.8129890367014511,0.011366111269555525,49872.39528229484,1874.5163164624648,12.7462
50,,0.5,20,2,0.8118658477723681,0.01126415241387476,50019.27326524189,1760.7232092172494,13.2765
50,,0.5,20,5,0.8092956238528615,0.012550804175485188,50357.140634062955,1963.0806808116079,11.0955
50,,0.5,20,10,0.8026673742226441,0.01324705541736115,51226.641592011336,2098.989942780915,10.9657
50,,1.0,2,1,0.8204914125881471,0.012483838951393074,48855.86540778761,2049.6353562062654,20.7833
50,,1.0,2,2,0.8219265751508387,0.0129896365004577,48656.54474576768,2115.3287536140615,18.3883
50,,1.0,2,5,0.8172535372769636,0.01382853415639149,49287.463269005544,2189.440560896272,16.124
50,,1.0,2,10,0.8069523459514475,0.014136089379214218,50658.288546829375,2146.848215807458,14.7606
50,,1.0,5,1,0.8204597556991307,0.012785930167346212,48858.84351696778,2088.674777739157,19.1916
50,,1.0,5,2,0.821893223419569,0.012846600535321004,48661.919094661316,2097.7301720264595,18.0191
50,,1.0,5,5,0.8172535372769636,0.013828534156391462,49287.463269005544,2189.4405608962707,13.8153
50,,1.0,5,10,0.8069523459514475,0.014136089379214227,50658.288546829375,2146.8482158074585,12.1302
50,,1.0,10,1,0.8185931976090517,0.013117273396639116,49111.04426794815,2125.3538440978564,15.6715
50,,1.0,10,2,0.819695236584171,0.013040144262559667,48961.35120070765,2123.3043656597856,13.9249
50,,1.0,10,5,0.8172535372769636,0.013828534156391492,49287.463269005544,2189.4405608962716,13.5158
50,,1.0,10,10,0.8069523459514475,0.01413608937921422,50658.288546829375,2146.848215807458,12.5731
50,,1.0,20,1,0.8122345778641795,0.0140984274001856,49961.80619845302,2219.7643497972426,13.0678
50,,1.0,20,2,0.8132399358106477,0.013862361582669023,49828.044194304865,2185.3281032284076,14.1431
50,,1.0,20,5,0.812165170264603,0.01422112663741433,49968.25515497041,2202.235214459043,12.3496
50,,1.0,20,10,0.8069523459514475,0.014136089379214218,50658.288546829375,2146.848215807458,12.7805
50,5,sqrt,2,1,0.5727080815996242,0.011684513266889771,75407.79271535682,1625.9408538587963,4.2195
50,5,sqrt,2,2,0.5725143722096957,0.011817345143461474,75425.32543641116,1661.3390450969505,3.6463
50,5,sqrt,2,5,0.5745111800804874,0.01242767861458944,75249.06742456244,1737.2301656957534,6.9905
50,5,sqrt,2,10,0.5751173901754137,0.011527891287248387,75195.4126272529,1633.6553296581237,3.4607
50,5,sqrt,5,1,0.5718028002093115,0.011423995317633094,75487.96385072584,1610.3080309412235,2.3592
50,5,sqrt,5,2,0.5718763359653509,0.011492988638801941,75481.60142519497,1624.5035827257573,7.2069
50,5,sqrt,5,5,0.5745111800804874,0.012427678614589469,75249.06742456244,1737.2301656957525,3.232
50,5,sqrt,5,10,0.5751173901754137,0.011527891287248402,75195.41262725288,1633.6553296581233,3.7414
50,5,sqrt,10,1,0.5735762717249534,0.012297697907170564,75331.71481961492,1721.2427512579725,6.7265
50,5,sqrt,10,2,0.5736899159321539,0.012163164864042005,75322.09317711976,1725.4683364179598,2.5116
50,5,sqrt,10,5,0.5745111800804874,0.01242767861458948,75249.06742456244,1737.2301656957534,5.3661
50,5,sqrt,10,10,0.5751173901754137,0.011527891287248343,75195.4126272529,1633.6553296581208,6.2752
50,5,sqrt,20,1,0.5758090770433766,0.01161339349463894,75134.61591215977,1666.322207922793,1.4507
50,5,sqrt,20,2,0.5758745245864462,0.011735307111876897,75128.83309743796,1680.864763780435,6.1298
50,5,sqrt,20,5,0.5759195157322088,0.012153315600752935,75124.27187069372,1700.6574980326866,5.6863
50,5,sqrt,20,10,0.5751173901754137,0.011527891287248392,75195.41262725288,1633.6553296581228,2.3476
50,5,log2,2,1,0.617926305918008,0.014932607536974474,71299.03123381671,1842.3415080294453,7.9766
50,5,log2,2,2,0.6177136433445205,0.014788128024366482,71319.4236854953,1841.0633604634227,3.7569
50,5,log2,2,5,0.6174715832064044,0.01474192138336888,71342.99331527055,1874.0494896669586,4.3976
50,5,log2,2,10,0.6170606748931762,0.014735055634733051,71380.56680212442,1841.7297245123675,7.7701
50,5,log2,5,1,0.6178442835162767,0.015017014292473513,71306.73827087035,1856.5508280471736,2.6179
50,5,log2,5,2,0.6177588627162883,0.014812329539116568,71315.15332351587,1842.2681391542949,7.9908
50,5,log2,5,5,0.6174715832064044,0.014741921383368885,71342.99331527055,1874.0494896669609,3.9814
50,5,log2,5,10,0.6170606748931762,0.014735055634733046,71380.56680212442,1841.7297245123696,5.5512
50,5,log2,10,1,0.6173549957861454,0.014978755744349375,71353.05831973327,1876.8248991356966,6.8448
50,5,log2,10,2,0.6173841458897387,0.01485796747512216,71350.67226387607,1871.3407706814387,2.9821
50,5,log2,10,5,0.6174715832064044,0.014741921383368856,71342.99331527055,1874.0494896669609,7.9267
50,5,log2,10,10,0.6170606748931762,0.014735055634733051,71380.56680212442,1841.7297245123675,3.4702
50,5,log2,20,1,0.6171178719289593,0.014883984690913545,71374.57136909859,1838.7801581589026,5.3294
50,5,log2,20,2,0.617155563524632,0.014770067070309133,71371.36648934877,1833.2741976031332,6.6246
50,5,log2,20,5,0.6171453336867101,0.014656309231785621,71372.76334054818,1835.0806073177794,4.0765
50,5,log2,20,10,0.6170606748931762,0.014735055634733044,71380.56680212442,1841.7297245123675,8.4858
50,5,0.5,2,1,0.6353306047400032,0.014830516469097806,69655.93882805677,1865.6132803268208,3.4979
50,5,0.5,2,2,0.6354535046011976,0.01474126404312341,69644.29146114133,1856.0752282943174,9.0591
50,5,0.5,2,5,0.6350990067038624,0.015155390883366007,69677.1353646753,1876.5091683875917,3.6149
50,5,0.5,2,10,0.6350477247662832,0.01488899051271284,69681.88626734473,1832.1202657073568,7.9454
50,5,0.5,5,1,0.6355224488086842,0.014769009833336882,69637.68498164896,1859.5577130928862,5.4272
50,5,0.5,5,2,0.635583811846421,0.014772132430249513,69631.72243650057,1856.1359827271842,8.0981
50,5,0.5,5,5,0.6350990067038624,0.015155390883366033,69677.1353646753,1876.5091683875912,5.5308
50,5,0.5,5,10,0.6350477247662832,0.014888990512712868,69681.88626734473,1832.1202657073604,7.9404
50,5,0.5,10,1,0.635168807764811,0.01512706422065725,69670.514604295,1874.0129624324634,5.2631
50,5,0.5,10,2,0.6352264415799106,0.015122847310209974,69664.90151627363,1869.1898242937548,5.4558
50,5,0.5,10,5,0.6350990067038624,0.015155390883366034,69677.1353646753,1876.5091683875933,7.8407
50,5,0.5,10,10,0.6350477247662832,0.014888990512712834,69681.88626734473,1832.1202657073547,4.2525
50,5,0.5,20,1,0.6350304761175818,0.014958136256437387,69683.11188916028,1824.7628520965698,8.6742
50,5,0.5,20,2,0.6350663960785145,0.014972902386921866,69679.6054091842,1823.985516061797,2.8197
50,5,0.5,20,5,0.6349215295183491,0.014983758009458854,69693.55480940899,1830.1227873436728,8.6318
50,5,0.5,20,10,0.6350477247662832,0.014888990512712846,69681.88626734473,1832.120265707358,3.5798
50,5,1.0,2,1,0.6190865694174075,0.012987350911571492,71192.62505625593,1641.7738726409402,9.2495
50,5,1.0,2,2,0.6191561205894753,0.013008263419219044,71186.07268726756,1642.4770356072422,5.4919
50,5,1.0,2,5,0.6190998165100465,0.013138515307681396,71191.10900373275,1651.2420514200433,9.7002
50,5,1.0,2,10,0.6192861265473351,0.013339296123017368,71173.29650386938,1663.7010886575774,6.6333
50,5,1.0,5,1,0.6190818992106918,0.012999599754218619,71193.05919039757,1643.437184147707,7.6541
50,5,1.0,5,2,0.61915363850483,0.013008283243027356,71186.30695026484,1642.5645992460554,8.6531
50,5,1.0,5,5,0.6190998165100465,0.013138515307681413,71191.10900373275,1651.2420514200437,7.0231
50,5,1.0,5,10,0.6192861265473351,0.013339296123017368,71173.29650386938,1663.7010886575774,8.4999
50,5,1.0,10,1,0.6188827427452086,0.013050562434028351,71211.65383976081,1649.5695991136834,8.2167
50,5,1.0,10,2,0.6189391815043018,0.013063558605011119,71206.30972040952,1648.2602650891706,6.6173
50,5,1.0,10,5,0.6190998165100465,0.013138515307681408,71191.10900373275,1651.2420514200433,9.5508
50,5,1.0,10,10,0.619286126547335,0.013339296123017373,71173.29650386938,1663.7010886575788,6.437
50,5,1.0,20,1,0.618754660569928,0.013081967414400219,71223.6526404515,1655.185148463749,6.8459
50,5,1.0,20,2,0.618816325404633,0.013088970839199552,71217.82670918971,1653.299900417782,9.1587
50,5,1.0,20,5,0.6190307797125687,0.013149382590751707,71197.5696063873,1652.8826062139754,5.962
50,5,1.0,20,10,0.6192861265473351,0.013339296123017368,71173.29650386938,1663.701088657576,8.9372
50,10,sqrt,2,1,0.7404334846266794,0.011619086017356967,58764.82923431215,1691.2426221503997,4.2592
50,10,sqrt,2,2,0.7397431879600049,0.010185969821516469,58843.94379084699,1470.2825121470341,7.9414
50,10,sqrt,2,5,0.7397265884641673,0.010198151618203238,58847.79025525444,1548.1571975463428,4.6045
50,10,sqrt,2,10,0.7357214923556972,0.011756775396971664,59295.40243033739,1676.0301075503519,6.4774
50,10,sqrt,5,1,0.741781306959531,0.012502391972170191,58611.14435460215,1828.7884144709594,5.4594
50,10,sqrt,5,2,0.7410062687991055,0.011773073452267356,58699.10469209957,1681.6658592815609,6.0452
50,10,sqrt,5,5,0.7397265884641673,0.010198151618203224,58847.79025525444,1548.1571975463435,6.0966
50,10,sqrt,5,10,0.7357214923556972,0.011756775396971689,59295.40243033739,1676.0301075503533,4.9373
50,10,sqrt,10,1,0.7388035384580462,0.012350717490391266,58947.78105017686,1769.266875079942,7.3644
50,10,sqrt,10,2,0.7403082638875159,0.012152087163221007,58778.88698082864,1787.6005002102818,4.1388
50,10,sqrt,10,5,0.7397265884641673,0.010198151618203224,58847.79025525444,1548.1571975463432,8.5857
50,10,sqrt,10,10,0.7357214923556972,0.011756775396971664,59295.40243033739,1676.030107550353,3.7915
50,10,sqrt,20,1,0.7370024798610109,0.011511691424180142,59152.9550323419,1693.6019582269078,8.3495
50,10,sqrt,20,2,0.7378705564725749,0.012870749009031306,59051.46656691126,1805.4569756445508,4.9307
50,10,sqrt,20,5,0.7362868373928922,0.012502147193778977,59230.88281271617,1784.9822178953732,7.0583
50,10,sqrt,20,10,0.7357214923556972,0.011756775396971657,59295.40243033739,1676.0301075503514,7.3071
50,10,log2,2,1,0.7655798154094996,0.012298473045338884,55839.108175944326,1751.3369287933037,5.457
