rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,50,10.0,sqrt,2,1,0.9450505647194825,0.033056012115393,0.9457936507936509,0.0325146051257778,0.7854
2,50,10.0,log2,2,1,0.9450505647194825,0.033056012115393,0.9457936507936509,0.0325146051257778,0.8116
3,50,,sqrt,2,1,0.9422251385268036,0.0318948471584813,0.942936507936508,0.0313717017942825,0.7623
4,50,,log2,2,1,0.9422251385268036,0.0318948471584813,0.942936507936508,0.0313717017942825,0.7832
5,50,20.0,sqrt,2,1,0.9422251385268036,0.0318948471584813,0.942936507936508,0.0313717017942825,0.7701
6,50,20.0,log2,2,1,0.9422251385268036,0.0318948471584813,0.942936507936508,0.0313717017942825,0.7702
7,50,,sqrt,5,2,0.9420218435177732,0.0345751723259715,0.942936507936508,0.0338740162896553,0.7931
8,50,,log2,5,2,0.9420218435177732,0.0345751723259715,0.942936507936508,0.0338740162896553,0.7535
9,50,10.0,sqrt,5,2,0.9420218435177732,0.0345751723259715,0.942936507936508,0.0338740162896553,0.8391
10,50,10.0,log2,5,2,0.9420218435177732,0.0345751723259715,0.942936507936508,0.0338740162896553,0.8669
