n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
50,,sqrt,2,1,0.9422251385268036,0.0318948471584813,0.9429365079365079,0.03137170179428251,0.7623
50,,sqrt,2,2,0.9305740063265073,0.03732806414095349,0.9315079365079365,0.03667671476421644,0.7618
50,,sqrt,2,5,0.9248946287031469,0.0374677174363565,0.9257936507936508,0.03668907787576775,0.8054
50,,sqrt,2,10,0.9303057259260946,0.041866599536989686,0.9314285714285715,0.0408081624488163,0.7673
50,,sqrt,5,1,0.9364243268970869,0.038566434573618184,0.9372222222222222,0.03797675025710736,0.7732
50,,sqrt,5,2,0.9420218435177732,0.03457517232597155,0.9429365079365079,0.03387401628965537,0.7931
50,,sqrt,5,5,0.9248946287031469,0.0374677174363565,0.9257936507936508,0.03668907787576775,0.7848
50,,sqrt,5,10,0.9303057259260946,0.041866599536989686,0.9314285714285715,0.0408081624488163,0.7695
50,,sqrt,10,1,0.9252814137905323,0.0430554552259997,0.9257936507936508,0.04284722107373473,0.7687
50,,sqrt,10,2,0.9338659548533341,0.03640525852120851,0.9343650793650793,0.0363350807792978,0.8013
50,,sqrt,10,5,0.9248946287031469,0.0374677174363565,0.9257936507936508,0.03668907787576775,0.7672
50,,sqrt,10,10,0.9303057259260946,0.041866599536989686,0.9314285714285715,0.0408081624488163,0.7658
50,,sqrt,20,1,0.9254845883937068,0.040881117568899644,0.9257936507936508,0.04089766555219318,0.7617
50,,sqrt,20,2,0.9310693232805696,0.04284218583455093,0.9314285714285715,0.04276179870598792,0.7694
50,,sqrt,20,5,0.9279424736804531,0.04109884851186065,0.9286507936507936,0.04099181379478032,0.7529
50,,sqrt,20,10,0.9303057259260946,0.041866599536989686,0.9314285714285715,0.0408081624488163,0.7631
50,,log2,2,1,0.9422251385268036,0.0318948471584813,0.9429365079365079,0.03137170179428251,0.7832
50,,log2,2,2,0.9305740063265073,0.03732806414095349,0.9315079365079365,0.03667671476421644,0.747
50,,log2,2,5,0.9248946287031469,0.0374677174363565,0.9257936507936508,0.03668907787576775,0.7691
50,,log2,2,10,0.9303057259260946,0.041866599536989686,0.9314285714285715,0.0408081624488163,0.7731
50,,log2,5,1,0.9364243268970869,0.038566434573618184,0.9372222222222222,0.03797675025710736,0.7501
50,,log2,5,2,0.9420218435177732,0.03457517232597155,0.9429365079365079,0.03387401628965537,0.7535
50,,log2,5,5,0.9248946287031469,0.0374677174363565,0.9257936507936508,0.03668907787576775,0.775
50,,log2,5,10,0.9303057259260946,0.041866599536989686,0.9314285714285715,0.0408081624488163,0.7475
50,,log2,10,1,0.9252814137905323,0.0430554552259997,0.9257936507936508,0.04284722107373473,0.7814
50,,log2,10,2,0.9338659548533341,0.03640525852120851,0.9343650793650793,0.0363350807792978,0.7533
50,,log2,10,5,0.9248946287031469,0.0374677174363565,0.9257936507936508,0.03668907787576775,0.7749
50,,log2,10,10,0.9303057259260946,0.041866599536989686,0.9314285714285715,0.0408081624488163,0.8476
50,,log2,20,1,0.9254845883937068,0.040881117568899644,0.9257936507936508,0.04089766555219318,0.8194
50,,log2,20,2,0.9310693232805696,0.04284218583455093,0.9314285714285715,0.04276179870598792,0.7915
50,,log2,20,5,0.9279424736804531,0.04109884851186065,0.9286507936507936,0.04099181379478032,0.7935
50,,log2,20,10,0.9303057259260946,0.041866599536989686,0.9314285714285715,0.0408081624488163,0.7628
50,,0.5,2,1,0.9366538744121538,0.04228788390370033,0.9371428571428572,0.041991252733425924,0.7865
50,,0.5,2,2,0.927990590492118,0.029806096377299522,0.9286507936507936,0.029393915485584707,0.7923
50,,0.5,2,5,0.9251050182848581,0.03677846779572991,0.9257936507936508,0.03668907787576775,0.7893
50,,0.5,2,10,0.9113257439012197,0.040912852369314426,0.9115873015873017,0.04142857142857142,0.7983
50,,0.5,5,1,0.9280392758028281,0.0412660458391949,0.9285714285714286,0.040908060180789595,0.7992
50,,0.5,5,2,0.931019311693827,0.02950685147395342,0.9315079365079365,0.02924697398925819,0.803
50,,0.5,5,5,0.9251050182848581,0.03677846779572991,0.9257936507936508,0.03668907787576775,0.7977
50,,0.5,5,10,0.9113257439012197,0.040912852369314426,0.9115873015873017,0.04142857142857142,0.7835
50,,0.5,10,1,0.9368135265700482,0.042295467087237366,0.9371428571428572,0.041991252733425924,0.7792
50,,0.5,10,2,0.9366040465806897,0.031193292110633736,0.9371428571428572,0.030772370326482893,0.7868
50,,0.5,10,5,0.9251050182848581,0.03677846779572991,0.9257936507936508,0.03668907787576775,0.7878
50,,0.5,10,10,0.9113257439012197,0.040912852369314426,0.9115873015873017,0.04142857142857142,0.7974
50,,0.5,20,1,0.9172281859334005,0.04982470434881952,0.9171428571428573,0.050223988089276986,0.7918
50,,0.5,20,2,0.9224620743750318,0.040657067410527686,0.9228571428571429,0.04050699108216523,0.795
50,,0.5,20,5,0.9169599732017047,0.04647550746858283,0.9173015873015874,0.046950062726504156,0.7797
50,,0.5,20,10,0.9113257439012197,0.040912852369314426,0.9115873015873017,0.04142857142857142,0.7723
50,,1.0,2,1,0.9227311242080081,0.049503578098554255,0.9228571428571429,0.04956957592256422,0.8053
50,,1.0,2,2,0.9222266974317401,0.029290360177699287,0.9229365079365079,0.028848851551277824,0.8188
50,,1.0,2,5,0.9185695669669274,0.032858153826867034,0.9201587301587303,0.03089371730154019,0.8407
50,,1.0,2,10,0.8939609010568489,0.03141618085949807,0.8945238095238095,0.03158780010773554,0.7983
50,,1.0,5,1,0.9197977908746748,0.049091461597899795,0.9200000000000002,0.049156144383100744,0.8206
50,,1.0,5,2,0.9250304799376503,0.03475012071820639,0.9257142857142858,0.034285714285714294,0.83
50,,1.0,5,5,0.9185695669669274,0.032858153826867034,0.9201587301587303,0.03089371730154019,0.7884
50,,1.0,5,10,0.8939609010568489,0.03141618085949807,0.8945238095238095,0.03158780010773554,0.8017
50,,1.0,10,1,0.9198600509263068,0.04569285667434749,0.920079365079365,0.04580410323339902,0.8438
50,,1.0,10,2,0.9222732782915598,0.029369681134457357,0.9229365079365079,0.028848851551277824,0.8094
50,,1.0,10,5,0.9185695669669274,0.032858153826867034,0.9201587301587303,0.03089371730154019,0.8109
50,,1.0,10,10,0.8939609010568489,0.03141618085949807,0.8945238095238095,0.03158780010773554,0.8069
50,,1.0,20,1,0.8950399990201634,0.04717060183986326,0.8943650793650795,0.04802269399275715,0.8211
50,,1.0,20,2,0.8974303917881343,0.03127357416821796,0.8973809523809523,0.031951813209064324,0.8263
50,,1.0,20,5,0.8967418534378012,0.0342616695785337,0.8973809523809525,0.03441196991555972,0.8022
50,,1.0,20,10,0.8939609010568489,0.03141618085949807,0.8945238095238095,0.03158780010773554,0.8069
50,5,sqrt,2,1,0.9388445681874915,0.03583414773951865,0.9400793650793651,0.03494813131036006,0.7564
50,5,sqrt,2,2,0.9360451320393042,0.03883428376511099,0.9372222222222222,0.03797675025710736,0.7718
50,5,sqrt,2,5,0.9335608814570004,0.02940089992705571,0.9343650793650793,0.028817393651590858,0.7494
50,5,sqrt,2,10,0.9185284411808474,0.043464367684925474,0.9200000000000002,0.041991252733425924,0.763
50,5,sqrt,5,1,0.9332641796583516,0.041267012392449835,0.9343650793650793,0.04058039806954824,0.7552
50,5,sqrt,5,2,0.9360528535694745,0.03862719894247301,0.9372222222222222,0.03797675025710735,0.7905
50,5,sqrt,5,5,0.9335608814570004,0.02940089992705571,0.9343650793650793,0.028817393651590858,0.8023
50,5,sqrt,5,10,0.9185284411808474,0.043464367684925474,0.9200000000000002,0.041991252733425924,0.8077
50,5,sqrt,10,1,0.9390885101844398,0.035608736548488486,0.9400793650793651,0.03494813131036006,0.7775
50,5,sqrt,10,2,0.9390885101844398,0.035608736548488486,0.9400793650793651,0.03494813131036006,0.7732
50,5,sqrt,10,5,0.9335608814570004,0.02940089992705571,0.9343650793650793,0.028817393651590858,0.7604
50,5,sqrt,10,10,0.9185284411808474,0.043464367684925474,0.9200000000000002,0.041991252733425924,0.7504
50,5,sqrt,20,1,0.9361530391799586,0.03665631329893783,0.9372222222222222,0.035762665644051964,0.7774
50,5,sqrt,20,2,0.9361530391799586,0.03665631329893783,0.9372222222222222,0.035762665644051964,0.7569
50,5,sqrt,20,5,0.9276800479162697,0.04331514642114853,0.9286507936507936,0.04293709473530308,0.7752
50,5,sqrt,20,10,0.9185284411808474,0.043464367684925474,0.9200000000000002,0.041991252733425924,0.7719
50,5,log2,2,1,0.9388445681874915,0.03583414773951865,0.9400793650793651,0.03494813131036006,0.7904
50,5,log2,2,2,0.9360451320393042,0.03883428376511099,0.9372222222222222,0.03797675025710736,0.816
50,5,log2,2,5,0.9335608814570004,0.02940089992705571,0.9343650793650793,0.028817393651590858,0.8103
50,5,log2,2,10,0.9185284411808474,0.043464367684925474,0.9200000000000002,0.041991252733425924,0.7821
50,5,log2,5,1,0.9332641796583516,0.041267012392449835,0.9343650793650793,0.04058039806954824,0.7867
50,5,log2,5,2,0.9360528535694745,0.03862719894247301,0.9372222222222222,0.03797675025710735,0.787
50,5,log2,5,5,0.9335608814570004,0.02940089992705571,0.9343650793650793,0.028817393651590858,0.7944
50,5,log2,5,10,0.9185284411808474,0.043464367684925474,0.9200000000000002,0.041991252733425924,0.8106
50,5,log2,10,1,0.9390885101844398,0.035608736548488486,0.9400793650793651,0.03494813131036006,0.743
50,5,log2,10,2,0.9390885101844398,0.035608736548488486,0.9400793650793651,0.03494813131036006,0.7645
50,5,log2,10,5,0.9335608814570004,0.02940089992705571,0.9343650793650793,0.028817393651590858,0.7894
50,5,log2,10,10,0.9185284411808474,0.043464367684925474,0.9200000000000002,0.041991252733425924,0.8175
50,5,log2,20,1,0.9361530391799586,0.03665631329893783,0.9372222222222222,0.035762665644051964,0.7814
50,5,log2,20,2,0.9361530391799586,0.03665631329893783,0.9372222222222222,0.035762665644051964,0.7919
50,5,log2,20,5,0.9276800479162697,0.04331514642114853,0.9286507936507936,0.04293709473530308,0.8089
50,5,log2,20,10,0.9185284411808474,0.043464367684925474,0.9200000000000002,0.041991252733425924,0.7955
50,5,0.5,2,1,0.9334561415663174,0.031942341847333876,0.9343650793650793,0.03152312616148972,0.7935
50,5,0.5,2,2,0.9362815677589961,0.03384204739364069,0.9372222222222222,0.03340213986926295,0.806
50,5,0.5,2,5,0.9308772620542112,0.03161762900829332,0.9315873015873016,0.03187631994510393,0.8194
50,5,0.5,2,10,0.9113944957875919,0.04282091359504583,0.9116666666666667,0.04325804553376585,0.7976
50,5,0.5,5,1,0.9359508868251698,0.040962199256295476,0.9371428571428572,0.040000000000000015,0.811
50,5,0.5,5,2,0.9303216781265811,0.035310191299289924,0.9315079365079365,0.0343790066722883,0.789
50,5,0.5,5,5,0.9308772620542112,0.03161762900829332,0.9315873015873016,0.03187631994510393,0.8034
50,5,0.5,5,10,0.9113944957875919,0.04282091359504583,0.9116666666666667,0.04325804553376585,0.8427
50,5,0.5,10,1,0.9362599240722276,0.03615230359536244,0.9371428571428572,0.03568570284799086,0.8452
50,5,0.5,10,2,0.9362599240722276,0.03615230359536244,0.9371428571428572,0.03568570284799086,0.7732
50,5,0.5,10,5,0.9308772620542112,0.03161762900829332,0.9315873015873016,0.03187631994510393,0.7989
50,5,0.5,10,10,0.9113944957875919,0.04282091359504583,0.9116666666666667,0.04325804553376585,0.8053
