parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,15285.0,0.6465,False
n_estimators,50,200,13320.0,0.0083,True
n_estimators,50,500,14637.0,0.1267,False
n_estimators,100,200,12883.0,0.0185,True
n_estimators,100,500,14025.0,0.0643,False
n_estimators,200,500,5881.5,0.0006,True
max_depth,5.0,10.0,8398.0,0.0002,True
max_depth,5.0,20.0,8117.0,0.0001,True
max_depth,5.0,nan,8117.0,0.0001,True
max_depth,10.0,20.0,494.5,0.7951,False
max_depth,10.0,nan,494.5,0.7951,False
max_depth,20.0,nan,0.0,,False
max_features,0.5,1.0,940.0,0.0,True
max_features,0.5,log2,1774.0,0.0,True
max_features,0.5,sqrt,1774.0,0.0,True
max_features,1.0,log2,111.0,0.0,True
max_features,1.0,sqrt,111.0,0.0,True
max_features,log2,sqrt,0.0,,False
min_samples_split,2,5,1482.0,0.0476,True
min_samples_split,2,10,2197.0,0.0002,True
min_samples_split,2,20,1158.0,0.0,True
min_samples_split,5,10,2378.0,0.0052,True
min_samples_split,5,20,1117.0,0.0,True
min_samples_split,10,20,1017.0,0.0,True
min_samples_leaf,1,2,9178.0,0.0006,True
min_samples_leaf,1,5,7658.0,0.0,True
min_samples_leaf,1,10,1205.0,0.0,True
min_samples_leaf,2,5,3135.0,0.0,True
min_samples_leaf,2,10,9.0,0.0,True
min_samples_leaf,5,10,1572.0,0.0,True
