rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,100,,1.0,5,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.8335
2,100,,1.0,10,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.8487
3,100,,1.0,20,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.854
4,100,5.0,1.0,5,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.8646
5,100,5.0,1.0,10,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.8484
6,100,5.0,1.0,20,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.8608
7,100,10.0,1.0,5,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.9111
8,100,10.0,1.0,10,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.8869
9,100,10.0,1.0,20,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.9327
10,100,20.0,1.0,5,1,0.9597306397306398,0.0443850230260182,0.96,0.0442216638714053,1.8955
