parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,5152.0,0.0,True
n_estimators,50,200,5152.0,0.0,True
n_estimators,50,500,3836.0,0.0,True
n_estimators,100,200,1830.0,0.0,True
n_estimators,100,500,1830.0,0.0,True
n_estimators,200,500,231.0,0.3668,False
max_depth,5.0,10.0,0.0,0.0588,False
max_depth,5.0,20.0,0.0,0.0588,False
max_depth,5.0,nan,0.0,0.0588,False
max_depth,10.0,20.0,0.0,,False
max_depth,10.0,nan,0.0,,False
max_depth,20.0,nan,0.0,,False
max_features,0.5,1.0,1616.0,0.0,True
max_features,0.5,log2,0.0,,False
max_features,0.5,sqrt,0.0,,False
max_features,1.0,log2,1616.0,0.0,True
max_features,1.0,sqrt,1616.0,0.0,True
max_features,log2,sqrt,0.0,,False
min_samples_split,2,5,126.0,0.0,True
min_samples_split,2,10,0.0,0.0,True
min_samples_split,2,20,330.0,0.0,True
min_samples_split,5,10,0.0,0.0001,True
min_samples_split,5,20,558.0,0.0009,True
min_samples_split,10,20,366.0,0.0203,True
min_samples_leaf,1,2,1950.0,0.0615,False
min_samples_leaf,1,5,3420.0,0.0,True
min_samples_leaf,1,10,0.0,0.0,True
min_samples_leaf,2,5,1098.0,0.0,True
min_samples_leaf,2,10,0.0,0.0,True
min_samples_leaf,5,10,78.0,0.0,True
