rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
1,500,,1.0,2,1,0.726438977114051,0.0157267909422104,0.13773047316777,0.0043908822194732,121.1345
2,500,20.0,1.0,2,1,0.7261273984597318,0.0159216972347479,0.1378064930790154,0.004399607270728,133.3492
3,500,,1.0,2,2,0.7254214063518887,0.0154579237772448,0.1379897618862264,0.0043636298856893,101.2085
4,500,20.0,1.0,2,2,0.725269758213867,0.0154534886123212,0.1380278919149576,0.0043604119495457,127.4037
5,500,,0.5,2,1,0.7250855901595072,0.014631398705482,0.1380822956078792,0.0042535432720772,65.635
6,200,,1.0,2,1,0.7247426169326983,0.0163005602136781,0.1381528715989168,0.0044847518831934,19.6119
7,500,20.0,0.5,2,1,0.7246221668515559,0.0147978481907426,0.1381992679693053,0.0043300504955674,80.7511
8,200,20.0,1.0,2,1,0.7241093979775679,0.0166579315405378,0.1383082278868311,0.0045291840094549,48.9489
9,200,,1.0,2,2,0.7240009663806959,0.0164767104953067,0.1383390064352566,0.0045510559905362,12.1974
10,500,,1.0,5,2,0.7237081664658686,0.0155503963617068,0.1384189802138866,0.0043563885474516,99.0967
