n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,std_rmse,time_s
50,,sqrt,2,1,0.6871430629063299,0.014228666262140553,0.1473114430098862,0.0038612775299924225,4.2954
50,,sqrt,2,2,0.6822430925669891,0.012753877944994815,0.14847504186517074,0.0037784922448386494,4.7096
50,,sqrt,2,5,0.653271220862526,0.010721764243050566,0.15509792064343222,0.0029304140268888103,5.0871
50,,sqrt,2,10,0.6199770263391183,0.011455202295900609,0.16238169268607852,0.0033589495872710486,3.3787
50,,sqrt,5,1,0.6797984933374961,0.012433895735150196,0.1490429144470727,0.003559251154240915,4.8556
50,,sqrt,5,2,0.6800157382199215,0.01303482004079883,0.14898302136401387,0.0034291454172168247,4.2709
50,,sqrt,5,5,0.653271220862526,0.010721764243050597,0.15509792064343222,0.002930414026888811,4.1739
50,,sqrt,5,10,0.6199770263391183,0.011455202295900593,0.16238169268607855,0.003358949587271043,4.5387
50,,sqrt,10,1,0.6646367773736549,0.012178992109764005,0.1525339326765361,0.003493381280922398,3.599
50,,sqrt,10,2,0.6645496764440046,0.014327872570912956,0.15255663603154507,0.004334730676833586,4.2576
50,,sqrt,10,5,0.653271220862526,0.010721764243050578,0.15509792064343222,0.0029304140268888133,5.741
50,,sqrt,10,10,0.6199770263391183,0.011455202295900632,0.16238169268607852,0.003358949587271047,3.6412
50,,sqrt,20,1,0.6395309732935786,0.01157049634420836,0.15815937277429237,0.003926092549449438,4.0451
50,,sqrt,20,2,0.6334109172851857,0.010363276923592601,0.15949395920360626,0.003473636544551205,5.5513
50,,sqrt,20,5,0.6293819385461302,0.010261148974982455,0.16037011001321652,0.0035385995449398354,3.7497
50,,sqrt,20,10,0.6199770263391183,0.01145520229590059,0.16238169268607852,0.003358949587271051,4.5447
50,,log2,2,1,0.7123433214746135,0.011012625559723948,0.14126897770270158,0.0034508413020178314,49.9865
50,,log2,2,2,0.7071421181729609,0.013106071804199235,0.14252082487165235,0.003509119821389703,48.8422
50,,log2,2,5,0.6855536530174902,0.011548509246250352,0.14769854470103505,0.0033420684208762003,43.8799
50,,log2,2,10,0.651845353173908,0.012477307907052631,0.15541528168413227,0.0034826819458689644,45.0418
50,,log2,5,1,0.7077559596841028,0.013717252301526718,0.14237812567504454,0.003963583852114469,45.9101
50,,log2,5,2,0.7071990467301326,0.010788182514564384,0.1425260563589138,0.003302780194110823,40.2145
50,,log2,5,5,0.6855536530174902,0.011548509246250335,0.14769854470103505,0.0033420684208762,46.9978
50,,log2,5,10,0.651845353173908,0.012477307907052673,0.15541528168413227,0.0034826819458689696,34.9256
50,,log2,10,1,0.691050425144806,0.016111833556330914,0.14636984599213207,0.0040541124960198445,40.6838
50,,log2,10,2,0.6912715502792509,0.013952630595396422,0.1463391137731249,0.003907379401404934,46.4061
50,,log2,10,5,0.6855536530174902,0.011548509246250352,0.14769854470103505,0.003342068420876201,43.5737
50,,log2,10,10,0.6518453531739079,0.012477307907052695,0.15541528168413227,0.0034826819458689756,47.662
50,,log2,20,1,0.6656906287205505,0.013396441651445875,0.1522904201851931,0.0037632206537727823,41.0508
50,,log2,20,2,0.6631515540182822,0.015451587065029793,0.1528552185033531,0.004048666147388959,44.1144
50,,log2,20,5,0.660791335073425,0.012810106682781514,0.15340057817823288,0.0034727172176890696,47.2854
50,,log2,20,10,0.651845353173908,0.012477307907052652,0.15541528168413227,0.0034826819458689726,38.4375
50,,0.5,2,1,0.7189464477252943,0.013334244507973625,0.13962362826530056,0.003885865528452511,57.9079
50,,0.5,2,2,0.7168522687289943,0.010564086224753143,0.1401578255713089,0.003329837197657978,50.8264
50,,0.5,2,5,0.695485207034087,0.011948506103685386,0.14535086968283015,0.0037039685533657336,41.923
50,,0.5,2,10,0.6639291069211277,0.013242763649305066,0.15270086907184205,0.004076709895577166,41.6875
50,,0.5,5,1,0.7147238235712492,0.012435523433128664,0.14066428890212418,0.0032721560716413634,59.506
50,,0.5,5,2,0.7142454796116736,0.01520229853550887,0.1407718551538138,0.0041073125983407364,47.316
50,,0.5,5,5,0.695485207034087,0.011948506103685391,0.14535086968283015,0.00370396855336574,4.7355
50,,0.5,5,10,0.6639291069211277,0.013242763649305066,0.15270086907184205,0.00407670989557716,5.2386
50,,0.5,10,1,0.7004036939785426,0.013975753893319995,0.14415928176673237,0.004030403133427174,4.8965
50,,0.5,10,2,0.7010991783475224,0.014507592911524196,0.1439792521005059,0.0038217694680797677,11.0986
50,,0.5,10,5,0.695485207034087,0.01194850610368541,0.14535086968283015,0.0037039685533657375,4.7714
50,,0.5,10,10,0.6639291069211277,0.013242763649305052,0.15270086907184205,0.004076709895577162,4.6056
50,,0.5,20,1,0.6728223147372673,0.014599753331869464,0.15065144419141546,0.004049897077246588,6.5305
50,,0.5,20,2,0.6720584983473364,0.014577487985158974,0.15082794037503083,0.004051837158742105,37.7339
50,,0.5,20,5,0.6706041843092697,0.016333819220212497,0.15115645222492569,0.0044888686886347395,49.5588
50,,0.5,20,10,0.6639291069211277,0.013242763649305066,0.15270086907184205,0.004076709895577161,47.1418
50,,1.0,2,1,0.7159229791185756,0.017627124992048455,0.1403371602478001,0.004545235921423868,68.3231
50,,1.0,2,2,0.7157983201144356,0.018316650147573086,0.14036626166353644,0.004795647353840646,65.8808
50,,1.0,2,5,0.7015651076778047,0.016767585894942445,0.1438577032171391,0.004464327838453472,57.4046
50,,1.0,2,10,0.6675422747022705,0.017636203239894344,0.1518453980418098,0.004586849825450304,57.3869
50,,1.0,5,1,0.7135848928411997,0.01779723266503255,0.1409152332295705,0.0046249358979961255,73.9372
50,,1.0,5,2,0.7148859401998887,0.018203591250235206,0.1405913244190542,0.0047286391798910705,70.5868
50,,1.0,5,5,0.7015651076778047,0.01676758589494242,0.14385770321713912,0.0044643278384534765,11.3614
50,,1.0,5,10,0.6675422747022705,0.017636203239894357,0.1518453980418098,0.004586849825450307,6.989
50,,1.0,10,1,0.7012565195954441,0.01890824202589445,0.1439141842729112,0.00482593905603708,8.1769
50,,1.0,10,2,0.7023863250452278,0.018494244578766483,0.14364501894718035,0.004765368973228473,7.9709
50,,1.0,10,5,0.7015651076778047,0.016767585894942445,0.1438577032171391,0.004464327838453474,6.9684
50,,1.0,10,10,0.6675422747022705,0.017636203239894333,0.15184539804180983,0.004586849825450299,7.2518
50,,1.0,20,1,0.6717692508806914,0.01816284766159666,0.15087032388229898,0.004624554444010406,6.9021
50,,1.0,20,2,0.6729527749874975,0.01776487745252609,0.15060256117885373,0.004628801620494135,7.1114
50,,1.0,20,5,0.6724780385062017,0.01741199530564932,0.1507145421895984,0.0045730404196923065,6.8108
50,,1.0,20,10,0.6675422747022705,0.017636203239894344,0.15184539804180983,0.004586849825450312,5.9917
50,5,sqrt,2,1,0.43093550185068474,0.01107971734258242,0.1987315815790896,0.004032825358046251,3.751
50,5,sqrt,2,2,0.4306544125322744,0.011851723430245159,0.19878025957936446,0.004142480833217626,3.4854
50,5,sqrt,2,5,0.4316956554548307,0.011029498620501897,0.1985995662722207,0.004062463795746093,4.3053
50,5,sqrt,2,10,0.4320129744644327,0.011422034767762107,0.1985407911817708,0.0039648892808873985,3.0239
50,5,sqrt,5,1,0.4309572738311441,0.011573313618111898,0.19872528438874826,0.003991509519893417,3.3568
50,5,sqrt,5,2,0.4309615627413187,0.011626513382389634,0.19872573681348263,0.004060023720380806,3.3785
50,5,sqrt,5,5,0.4316956554548307,0.011029498620501853,0.1985995662722207,0.004062463795746084,3.5245
50,5,sqrt,5,10,0.4320129744644327,0.01142203476776215,0.19854079118177076,0.0039648892808874,2.6333
50,5,sqrt,10,1,0.4311939309686853,0.011820691825757831,0.19868291644065023,0.003984218550591615,3.3915
50,5,sqrt,10,2,0.4313840564814907,0.011977831810167875,0.19865097101681978,0.004075195133990475,0.9038
50,5,sqrt,10,5,0.4316956554548307,0.011029498620501892,0.1985995662722207,0.004062463795746088,0.977
50,5,sqrt,10,10,0.4320129744644327,0.011422034767762112,0.1985407911817708,0.003964889280887392,0.9179
50,5,sqrt,20,1,0.4310549596265771,0.012602099817993213,0.1987044617647227,0.003994629797582891,0.8764
50,5,sqrt,20,2,0.4313477656408457,0.012530821403264298,0.19865444973574248,0.004037430264459807,0.9009
50,5,sqrt,20,5,0.43141068186868037,0.0120388263534929,0.19864541615363102,0.004043613524010401,0.9057
50,5,sqrt,20,10,0.4320129744644327,0.011422034767762134,0.19854079118177076,0.0039648892808874,0.8706
50,5,log2,2,1,0.4676680156286602,0.013680439835656533,0.19220249982230775,0.004147687660755277,0.9565
50,5,log2,2,2,0.46779658107312294,0.013516429436736926,0.19218066207387308,0.004177356157191187,0.9525
50,5,log2,2,5,0.46772996348597323,0.01406983447361654,0.1921927575895049,0.004297087725974269,0.9893
50,5,log2,2,10,0.4680239316362207,0.014475743012588305,0.192134740336786,0.004161664760764173,0.9728
50,5,log2,5,1,0.4677822777335912,0.013711368875872718,0.19218175146351876,0.0041496187593858995,0.9519
50,5,log2,5,2,0.4678440977961424,0.013644810858249045,0.19217156445307276,0.004180798368021929,0.9556
50,5,log2,5,5,0.46772996348597323,0.014069834473616484,0.19219275758950488,0.004297087725974264,0.9645
50,5,log2,5,10,0.4680239316362207,0.014475743012588332,0.192134740336786,0.004161664760764178,0.974
50,5,log2,10,1,0.4672274638648837,0.013954321496752263,0.19228197230160854,0.004205608404693105,0.9154
50,5,log2,10,2,0.4672423568329568,0.01409299830387947,0.19228009599775403,0.004271310397133933,0.9614
50,5,log2,10,5,0.46772996348597323,0.014069834473616531,0.1921927575895049,0.004297087725974266,0.9541
50,5,log2,10,10,0.4680239316362208,0.014475743012588289,0.19213474033678596,0.004161664760764175,0.9608
50,5,log2,20,1,0.4668471815476861,0.014413787253602171,0.19234752250553705,0.004165100306527635,0.9555
50,5,log2,20,2,0.46688251952422044,0.014718713049425477,0.1923405288820769,0.004204431089242257,0.9617
