parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,4013.0,0.0,True
n_estimators,50,200,789.0,0.0,True
n_estimators,50,500,542.0,0.0,True
n_estimators,100,200,0.0,0.0,True
n_estimators,100,500,43.0,0.0,True
n_estimators,200,500,2263.0,0.0,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,0.0,0.0,True
max_depth,10.0,nan,0.0,0.0,True
max_depth,20.0,nan,8205.5,0.0,True
max_features,0.5,1.0,6383.0,0.0,True
max_features,0.5,log2,0.0,0.0,True
max_features,0.5,sqrt,0.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,0.0,0.0,True
min_samples_split,2,5,1703.5,0.0,True
min_samples_split,2,10,526.5,0.0,True
min_samples_split,2,20,639.0,0.0,True
min_samples_split,5,10,502.5,0.0,True
min_samples_split,5,20,632.0,0.0,True
min_samples_split,10,20,688.5,0.0,True
min_samples_leaf,1,2,15847.0,0.6123,False
min_samples_leaf,1,5,6216.0,0.0,True
min_samples_leaf,1,10,2562.0,0.0,True
min_samples_leaf,2,5,3669.0,0.0,True
min_samples_leaf,2,10,2346.0,0.0,True
min_samples_leaf,5,10,2080.0,0.0,True
