n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
50,,sqrt,2,1,0.911734144001964,0.011307496344019763,0.912287944136373,0.0107310551653356,2.1372
50,,sqrt,2,2,0.9063196275473695,0.011441006764597295,0.9067368385020881,0.010941992969969635,1.8061
50,,sqrt,2,5,0.8967776908631414,0.010969975745726026,0.8973012939001848,0.010609333733490885,2.0844
50,,sqrt,2,10,0.8803275039525531,0.014103126894306907,0.8810183473677003,0.013462923705140307,2.1704
50,,sqrt,5,1,0.9069140655965094,0.009337975777527294,0.907293420962552,0.00913154374329871,2.2578
50,,sqrt,5,2,0.9038577752319457,0.00947472514373737,0.9041456151160402,0.009158984708942141,2.3982
50,,sqrt,5,5,0.8967776908631414,0.010969975745726026,0.8973012939001848,0.010609333733490885,2.0052
50,,sqrt,5,10,0.8803275039525531,0.014103126894306907,0.8810183473677003,0.013462923705140307,2.3858
50,,sqrt,10,1,0.8997055409685372,0.008533512906595484,0.900262887656603,0.008080035857780096,1.8554
50,,sqrt,10,2,0.9004255406465036,0.013701997074096278,0.9010053399055247,0.01324995489107287,2.1516
50,,sqrt,10,5,0.8967776908631414,0.010969975745726026,0.8973012939001848,0.010609333733490885,9.6927
50,,sqrt,10,10,0.8803275039525531,0.014103126894306907,0.8810183473677003,0.013462923705140307,10.2932
50,,sqrt,20,1,0.8917001697615745,0.012847213443455529,0.8923026631067297,0.012155745132353029,10.003
50,,sqrt,20,2,0.8902216362507843,0.014752000971709962,0.890639419456425,0.014253477304498097,11.6067
50,,sqrt,20,5,0.8883512747068842,0.014490337820679825,0.8889758335044842,0.013710607797854636,10.8674
50,,sqrt,20,10,0.8803275039525531,0.014103126894306907,0.8810183473677003,0.013462923705140307,10.2931
50,,log2,2,1,0.911734144001964,0.011307496344019763,0.912287944136373,0.0107310551653356,11.997
50,,log2,2,2,0.9061191322500648,0.011785057197230747,0.906551995618539,0.011249751939370034,9.7365
50,,log2,2,5,0.8967776908631414,0.010969975745726026,0.8973012939001848,0.010609333733490885,4.0065
50,,log2,2,10,0.8803275039525531,0.014103126894306907,0.8810183473677003,0.013462923705140307,1.5975
50,,log2,5,1,0.9069140655965094,0.009337975777527294,0.907293420962552,0.00913154374329871,1.5537
50,,log2,5,2,0.9038577752319457,0.00947472514373737,0.9041456151160402,0.009158984708942141,1.5286
50,,log2,5,5,0.8967776908631414,0.010969975745726026,0.8973012939001848,0.010609333733490885,1.8512
50,,log2,5,10,0.8803275039525531,0.014103126894306907,0.8810183473677003,0.013462923705140307,1.7848
50,,log2,10,1,0.8997055409685372,0.008533512906595484,0.900262887656603,0.008080035857780096,1.684
50,,log2,10,2,0.9004255406465036,0.013701997074096278,0.9010053399055247,0.01324995489107287,1.668
50,,log2,10,5,0.8967776908631414,0.010969975745726026,0.8973012939001848,0.010609333733490885,9.0452
50,,log2,10,10,0.8803275039525531,0.014103126894306907,0.8810183473677003,0.013462923705140307,1.9787
50,,log2,20,1,0.8917001697615745,0.012847213443455529,0.8923026631067297,0.012155745132353029,2.2222
50,,log2,20,2,0.8902216362507843,0.014752000971709962,0.890639419456425,0.014253477304498097,1.7193
50,,log2,20,5,0.8883512747068842,0.014490337820679825,0.8889758335044842,0.013710607797854636,1.5778
