parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,5825.0,0.0,True
n_estimators,50,200,2381.0,0.0,True
n_estimators,50,500,1986.0,0.0,True
n_estimators,100,200,4551.0,0.0,True
n_estimators,100,500,2289.0,0.0,True
n_estimators,200,500,8798.0,0.0,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,78.0,0.0,True
max_depth,10.0,nan,78.0,0.0,True
max_depth,20.0,nan,6284.0,0.2972,False
max_features,0.5,1.0,14205.0,0.0586,False
max_features,0.5,log2,0.0,0.3173,False
max_features,0.5,sqrt,1.0,0.285,False
max_features,1.0,log2,14209.0,0.059,False
max_features,1.0,sqrt,14211.0,0.0592,False
max_features,log2,sqrt,1.0,0.6547,False
min_samples_split,2,5,769.0,0.0,True
min_samples_split,2,10,105.0,0.0,True
min_samples_split,2,20,435.0,0.0,True
min_samples_split,5,10,295.0,0.0,True
min_samples_split,5,20,573.0,0.0,True
min_samples_split,10,20,672.0,0.0,True
min_samples_leaf,1,2,6235.0,0.0,True
min_samples_leaf,1,5,637.0,0.0,True
min_samples_leaf,1,10,405.0,0.0,True
min_samples_leaf,2,5,641.0,0.0,True
min_samples_leaf,2,10,608.0,0.0,True
min_samples_leaf,5,10,1219.0,0.0,True
