rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,100,,0.5,2,1,0.9868572063793788,0.0020286360673724,0.9868666666666668,0.0020231987873991,10.4958
2,100,20.0,0.5,2,1,0.9867234559309316,0.001904416761672,0.9867333333333332,0.0018961950204437,64.2246
3,500,,0.5,2,1,0.9864534679857982,0.0026729182895274,0.9864666666666668,0.0026674998698323,106.1581
4,500,20.0,0.5,5,1,0.9864531418567324,0.0020966765053986,0.9864666666666668,0.0020880613017821,162.5789
5,200,,0.5,2,1,0.98638958152424,0.0022618664555484,0.9864,0.0022548712700383,75.3063
6,50,,0.5,2,1,0.9863879091612984,0.0019412928117756,0.9864,0.0019367785395112,3.5835
7,50,20.0,0.5,2,1,0.986323634608629,0.0020541723572603,0.9863333333333332,0.0020493901531919,12.0396
8,500,,0.5,5,1,0.9863195735132528,0.0020367810613987,0.9863333333333336,0.0020275875100994,125.6142
9,200,20.0,0.5,2,1,0.9861886532582214,0.0018928825133057,0.9862,0.0018867962264113,118.5632
10,500,20.0,0.5,5,2,0.9861848127311804,0.0019839948706031,0.9862000000000002,0.0019787762772874,160.2845
