parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,14796.0,0.1636,False
n_estimators,50,200,14138.0,0.0514,False
n_estimators,50,500,15676.0,0.515,False
n_estimators,100,200,16313.0,0.9094,False
n_estimators,100,500,13366.0,0.0094,True
n_estimators,200,500,11979.0,0.0002,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,0.0,0.0,True
max_depth,10.0,nan,0.0,0.0,True
max_depth,20.0,nan,1038.0,0.0,True
max_features,0.5,1.0,16062.0,0.7448,False
max_features,0.5,log2,0.0,0.0,True
max_features,0.5,sqrt,0.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,2.0,0.0,True
min_samples_split,2,5,1992.0,0.0,True
min_samples_split,2,10,642.0,0.0,True
min_samples_split,2,20,794.0,0.0,True
min_samples_split,5,10,610.0,0.0,True
min_samples_split,5,20,828.0,0.0,True
min_samples_split,10,20,700.0,0.0,True
min_samples_leaf,1,2,4173.0,0.0,True
min_samples_leaf,1,5,868.0,0.0,True
min_samples_leaf,1,10,657.0,0.0,True
min_samples_leaf,2,5,855.0,0.0,True
min_samples_leaf,2,10,741.0,0.0,True
min_samples_leaf,5,10,810.0,0.0,True
