rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,500,,0.5,2,1,0.9809436546454144,0.0062031160841021,0.980952380952381,0.0061830549164873,9.398
2,500,20.0,0.5,2,1,0.9809436546454144,0.0062031160841021,0.980952380952381,0.0061830549164873,12.3279
3,100,,0.5,5,1,0.9804979493623982,0.0067755155447397,0.9805194805194806,0.0067759635681811,2.7032
4,100,20.0,0.5,5,1,0.9804979493623982,0.0067755155447397,0.9805194805194806,0.0067759635681811,2.316
5,200,,0.5,5,1,0.9800774561672756,0.0073065094755088,0.9800865800865802,0.0072953677689838,5.1554
6,200,20.0,0.5,5,1,0.9800774561672756,0.0073065094755088,0.9800865800865802,0.0072953677689838,5.6784
7,200,,0.5,2,1,0.9796561734959772,0.0047785005419997,0.9796536796536796,0.0047619047619047,4.3998
8,200,20.0,0.5,2,1,0.9796561734959772,0.0047785005419997,0.9796536796536796,0.0047619047619047,5.7358
9,50,,0.5,5,1,0.9796446082029148,0.0075230289810832,0.9796536796536796,0.0075105418064491,3.3911
10,50,20.0,0.5,5,1,0.9796446082029148,0.0075230289810832,0.9796536796536796,0.0075105418064491,1.3855
