n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
50,,sqrt,2,1,0.979204229077081,0.007682914520088693,0.979220779220779,0.007695406421918264,0.9006
50,,sqrt,2,2,0.976178091694362,0.008895803815482708,0.976190476190476,0.008924471051120481,0.8739
50,,sqrt,2,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,1.2772
50,,sqrt,2,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,1.4319
50,,sqrt,5,1,0.9757403815503503,0.00989205130498254,0.9757575757575756,0.009909543846112203,1.5128
50,,sqrt,5,2,0.9748655569253382,0.009211038369498879,0.9748917748917749,0.009244223594832289,1.7155
50,,sqrt,5,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,3.3629
50,,sqrt,5,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,3.1814
50,,sqrt,10,1,0.9757201190037966,0.005807175029245632,0.9757575757575756,0.005872147171537034,3.0906
50,,sqrt,10,2,0.975321821439391,0.009472772880456814,0.9753246753246753,0.00949424770539451,3.1016
50,,sqrt,10,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,2.5697
50,,sqrt,10,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,3.8521
50,,sqrt,20,1,0.9705795514776266,0.00664157788051194,0.9705627705627705,0.006650342638847286,3.7862
50,,sqrt,20,2,0.9714537599565057,0.008029480170424111,0.9714285714285713,0.008029106922507105,3.3735
50,,sqrt,20,5,0.9666841618788953,0.009020177056923012,0.9666666666666666,0.009090909090909084,2.9596
50,,sqrt,20,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,3.2156
50,,log2,2,1,0.979204229077081,0.007682914520088693,0.979220779220779,0.007695406421918264,3.5481
50,,log2,2,2,0.976178091694362,0.008895803815482708,0.976190476190476,0.008924471051120481,3.2393
50,,log2,2,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,3.1978
50,,log2,2,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,3.0831
50,,log2,5,1,0.9757403815503503,0.00989205130498254,0.9757575757575756,0.009909543846112203,3.14
50,,log2,5,2,0.9748655569253382,0.009211038369498879,0.9748917748917749,0.009244223594832289,3.0606
50,,log2,5,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,3.1276
50,,log2,5,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,2.9897
50,,log2,10,1,0.9757201190037966,0.005807175029245632,0.9757575757575756,0.005872147171537034,2.9504
50,,log2,10,2,0.975321821439391,0.009472772880456814,0.9753246753246753,0.00949424770539451,3.0409
50,,log2,10,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,3.0292
50,,log2,10,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,2.6969
50,,log2,20,1,0.9705795514776266,0.00664157788051194,0.9705627705627705,0.006650342638847286,2.8244
50,,log2,20,2,0.9714537599565057,0.008029480170424111,0.9714285714285713,0.008029106922507105,3.0537
50,,log2,20,5,0.9666841618788953,0.009020177056923012,0.9666666666666666,0.009090909090909084,3.1007
50,,log2,20,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,3.1779
50,,0.5,2,1,0.9774514455165935,0.007478166962996715,0.9774891774891774,0.0074479006641061715,3.046
50,,0.5,2,2,0.9792050661546737,0.005415539250855403,0.9792207792207792,0.005406924673938009,3.4551
50,,0.5,2,5,0.969279269052396,0.009548531166831043,0.9692640692640693,0.009572876358223374,3.7996
50,,0.5,2,10,0.964462395414549,0.008964850425717163,0.9645021645021645,0.009039226414641171,3.1391
50,,0.5,5,1,0.9796446082029149,0.007523028981083237,0.9796536796536797,0.007510541806449108,3.3911
50,,0.5,5,2,0.9778906803218407,0.007884105333930644,0.9779220779220779,0.007852102661132924,3.5481
50,,0.5,5,5,0.969279269052396,0.009548531166831043,0.9692640692640693,0.009572876358223374,2.8722
50,,0.5,5,10,0.964462395414549,0.008964850425717163,0.9645021645021645,0.009039226414641171,3.3505
50,,0.5,10,1,0.9748787141472454,0.005451371022526943,0.9748917748917748,0.005406924673937999,3.5017
50,,0.5,10,2,0.9749018520367452,0.0060843714255975675,0.9748917748917749,0.006060606060606051,3.1486
50,,0.5,10,5,0.969279269052396,0.009548531166831043,0.9692640692640693,0.009572876358223374,2.8789
50,,0.5,10,10,0.964462395414549,0.008964850425717163,0.9645021645021645,0.009039226414641171,2.7488
50,,0.5,20,1,0.974866081703424,0.005407672353137362,0.9748917748917748,0.005406924673938014,6.4241
50,,0.5,20,2,0.9726781373496713,0.005854338845338557,0.9727272727272727,0.005824079674057871,6.7895
50,,0.5,20,5,0.9658569957315588,0.009046550442452143,0.9658008658008658,0.009172995714466264,6.5027
50,,0.5,20,10,0.964462395414549,0.008964850425717163,0.9645021645021645,0.009039226414641171,5.3011
50,,1.0,2,1,0.9783852530894961,0.00765486365443446,0.9783549783549784,0.007743958363635622,7.2934
50,,1.0,2,2,0.9758128239618145,0.006990091739616174,0.9757575757575758,0.007033799484533309,6.5763
50,,1.0,2,5,0.9684997624439922,0.00792023799464756,0.9683982683982684,0.007994019615852553,7.3878
50,,1.0,2,10,0.9550119055405581,0.009541229498451867,0.954978354978355,0.009718590614997233,7.0469
50,,1.0,5,1,0.9748991887792936,0.009370798216158546,0.9748917748917749,0.009444772393624014,6.9508
50,,1.0,5,2,0.9745147524879754,0.008219949319510514,0.9744588744588745,0.008315745762899816,7.5193
50,,1.0,5,5,0.9684997624439922,0.00792023799464756,0.9683982683982684,0.007994019615852553,6.6774
50,,1.0,5,10,0.9550119055405581,0.009541229498451867,0.954978354978355,0.009718590614997233,6.7702
50,,1.0,10,1,0.9753757803839816,0.00837581627864579,0.9753246753246753,0.008449879348893135,7.9211
50,,1.0,10,2,0.9727692743859577,0.00796826571976579,0.9727272727272727,0.007994019615852554,7.144
50,,1.0,10,5,0.9684997624439922,0.00792023799464756,0.9683982683982684,0.007994019615852553,6.5215
50,,1.0,10,10,0.9550119055405581,0.009541229498451867,0.954978354978355,0.009718590614997233,6.0224
50,,1.0,20,1,0.9684370268057638,0.009427602359573524,0.9683982683982684,0.009494247705394497,6.0542
50,,1.0,20,2,0.9675884576751539,0.008470633015950014,0.9675324675324676,0.008494119857293758,6.9115
50,,1.0,20,5,0.9624516749335145,0.009868978847931831,0.9623376623376624,0.009881136112998552,6.3221
50,,1.0,20,10,0.9550119055405581,0.009541229498451867,0.954978354978355,0.009718590614997233,6.7347
50,5,sqrt,2,1,0.9332362499416973,0.014576224608506593,0.9333333333333333,0.014642021234015364,5.7444
50,5,sqrt,2,2,0.9318970881308799,0.01332854869144855,0.9320346320346321,0.013419913419913403,5.9316
50,5,sqrt,2,5,0.9306189221885249,0.015330844905876207,0.9307359307359306,0.015243997282821671,8.4784
50,5,sqrt,2,10,0.9294418315221238,0.013443565533635701,0.9294372294372295,0.013558839621961754,9.3688
50,5,sqrt,5,1,0.9336840867856979,0.013104300049671402,0.9337662337662337,0.013137654463630749,10.23
50,5,sqrt,5,2,0.9336840867856979,0.013104300049671402,0.9337662337662337,0.013137654463630749,8.2492
50,5,sqrt,5,5,0.9306189221885249,0.015330844905876207,0.9307359307359306,0.015243997282821671,7.7004
50,5,sqrt,5,10,0.9294418315221238,0.013443565533635701,0.9294372294372295,0.013558839621961754,7.7665
50,5,sqrt,10,1,0.9333062506647748,0.013496243162148331,0.9333333333333332,0.013440843892865829,7.9719
50,5,sqrt,10,2,0.9333062506647748,0.013496243162148331,0.9333333333333332,0.013440843892865829,9.3427
50,5,sqrt,10,5,0.9306189221885249,0.015330844905876207,0.9307359307359306,0.015243997282821671,7.4622
50,5,sqrt,10,10,0.9294418315221238,0.013443565533635701,0.9294372294372295,0.013558839621961754,9.9197
50,5,sqrt,20,1,0.9321389944544777,0.013699707548695062,0.9320346320346319,0.013832506760753639,7.7783
50,5,sqrt,20,2,0.9308499116054,0.013824497826805894,0.9307359307359307,0.013960619477573254,8.0994
50,5,sqrt,20,5,0.928659295594545,0.014988464061756858,0.9285714285714285,0.015027320309705446,7.0748
50,5,sqrt,20,10,0.9294418315221238,0.013443565533635701,0.9294372294372295,0.013558839621961754,8.7815
50,5,log2,2,1,0.9332362499416973,0.014576224608506593,0.9333333333333333,0.014642021234015364,7.8378
50,5,log2,2,2,0.9318970881308799,0.01332854869144855,0.9320346320346321,0.013419913419913403,7.6571
50,5,log2,2,5,0.9306189221885249,0.015330844905876207,0.9307359307359306,0.015243997282821671,9.265
50,5,log2,2,10,0.9294418315221238,0.013443565533635701,0.9294372294372295,0.013558839621961754,7.9233
50,5,log2,5,1,0.9336840867856979,0.013104300049671402,0.9337662337662337,0.013137654463630749,9.2184
50,5,log2,5,2,0.9336840867856979,0.013104300049671402,0.9337662337662337,0.013137654463630749,8.9697
50,5,log2,5,5,0.9306189221885249,0.015330844905876207,0.9307359307359306,0.015243997282821671,7.2305
50,5,log2,5,10,0.9294418315221238,0.013443565533635701,0.9294372294372295,0.013558839621961754,9.4936
50,5,log2,10,1,0.9333062506647748,0.013496243162148331,0.9333333333333332,0.013440843892865829,9.2345
50,5,log2,10,2,0.9333062506647748,0.013496243162148331,0.9333333333333332,0.013440843892865829,7.3593
50,5,log2,10,5,0.9306189221885249,0.015330844905876207,0.9307359307359306,0.015243997282821671,6.8216
50,5,log2,10,10,0.9294418315221238,0.013443565533635701,0.9294372294372295,0.013558839621961754,6.0748
50,5,log2,20,1,0.9321389944544777,0.013699707548695062,0.9320346320346319,0.013832506760753639,2.1955
50,5,log2,20,2,0.9308499116054,0.013824497826805894,0.9307359307359307,0.013960619477573254,1.9701
50,5,log2,20,5,0.928659295594545,0.014988464061756858,0.9285714285714285,0.015027320309705446,1.8748
50,5,log2,20,10,0.9294418315221238,0.013443565533635701,0.9294372294372295,0.013558839621961754,1.8928
50,5,0.5,2,1,0.9190154879235172,0.011489175385310364,0.919047619047619,0.011784119124516181,2.2383
50,5,0.5,2,2,0.9190154879235172,0.011489175385310364,0.919047619047619,0.011784119124516181,2.4045
50,5,0.5,2,5,0.9186164937696368,0.011989392371777548,0.9186147186147187,0.012366109832974618,2.2314
50,5,0.5,2,10,0.9171036446423735,0.014377200843800474,0.9173160173160172,0.014545712222001243,2.2293
50,5,0.5,5,1,0.9190175863518666,0.011493763902754792,0.919047619047619,0.011784119124516181,2.3677
50,5,0.5,5,2,0.9190154879235172,0.011489175385310364,0.919047619047619,0.011784119124516181,2.3085
50,5,0.5,5,5,0.9186164937696368,0.011989392371777548,0.9186147186147187,0.012366109832974618,2.2514
50,5,0.5,5,10,0.9171036446423735,0.014377200843800474,0.9173160173160172,0.014545712222001243,2.4287
50,5,0.5,10,1,0.9190175863518666,0.011493763902754792,0.919047619047619,0.011784119124516181,2.2405
50,5,0.5,10,2,0.9190175863518666,0.011493763902754792,0.919047619047619,0.011784119124516181,2.366
50,5,0.5,10,5,0.9186164937696368,0.011989392371777548,0.9186147186147187,0.012366109832974618,2.307
50,5,0.5,10,10,0.9171036446423735,0.014377200843800474,0.9173160173160172,0.014545712222001243,2.3926
50,5,0.5,20,1,0.9190175863518666,0.011493763902754792,0.919047619047619,0.011784119124516181,2.2613
50,5,0.5,20,2,0.9190175863518666,0.011493763902754792,0.919047619047619,0.011784119124516181,2.3305
50,5,0.5,20,5,0.9181649698764975,0.011954079292887557,0.9181818181818182,0.012312954678205954,2.3842
50,5,0.5,20,10,0.9171036446423735,0.014377200843800474,0.9173160173160172,0.014545712222001243,2.2829
50,5,1.0,2,1,0.8982629820771233,0.02712434086956665,0.9004329004329004,0.023868482687602128,2.6469
50,5,1.0,2,2,0.8974407199065405,0.02682351867323489,0.8995670995670997,0.023615899042399767,2.6977
50,5,1.0,2,5,0.8957006612300183,0.027828322737005442,0.8978354978354979,0.024732219665949278,2.5184
50,5,1.0,2,10,0.8939705242389163,0.025443356113547942,0.8961038961038963,0.022326921139788104,2.6213
50,5,1.0,5,1,0.8982629820771233,0.02712434086956665,0.9004329004329004,0.023868482687602128,2.6925
50,5,1.0,5,2,0.8974407199065405,0.02682351867323489,0.8995670995670997,0.023615899042399767,2.569
50,5,1.0,5,5,0.8957006612300183,0.027828322737005442,0.8978354978354979,0.024732219665949278,2.6395
50,5,1.0,5,10,0.8939705242389163,0.025443356113547942,0.8961038961038963,0.022326921139788104,2.6489
50,5,1.0,10,1,0.8982639744283463,0.027122306570253094,0.9004329004329004,0.023868482687602128,2.5971
50,5,1.0,10,2,0.8974417122577634,0.026821491980154127,0.8995670995670997,0.023615899042399767,2.5439
50,5,1.0,10,5,0.8957006612300183,0.027828322737005442,0.8978354978354979,0.024732219665949278,2.5715
50,5,1.0,10,10,0.8939705242389163,0.025443356113547942,0.8961038961038963,0.022326921139788104,2.593
50,5,1.0,20,1,0.8974532482373508,0.027068024602333332,0.8995670995670995,0.023852774569620643,2.5942
50,5,1.0,20,2,0.8965786502582258,0.02659573667990865,0.8987012987012987,0.02332847374079219,2.6196
50,5,1.0,20,5,0.8957006612300183,0.027828322737005442,0.8978354978354979,0.024732219665949278,2.501
50,5,1.0,20,10,0.8939705242389163,0.025443356113547942,0.8961038961038963,0.022326921139788104,2.592
50,10,sqrt,2,1,0.9753401264368918,0.009466991544108102,0.9753246753246753,0.009494247705394518,1.9834
50,10,sqrt,2,2,0.9748824335282231,0.007648831929485039,0.9748917748917748,0.007695406421918258,2.3768
50,10,sqrt,2,5,0.9697627788781696,0.008629681697672302,0.9696969696969695,0.008658008658008665,3.1781
50,10,sqrt,2,10,0.9640905288568599,0.00834609732322338,0.964069264069264,0.00844987934889314,2.8171
50,10,sqrt,5,1,0.9748529234289462,0.010401655537076407,0.9748917748917748,0.010389610389610377,3.2094
50,10,sqrt,5,2,0.9749218591423021,0.00919759991778035,0.9748917748917748,0.0092442235948323,2.9455
50,10,sqrt,5,5,0.9697627788781696,0.008629681697672302,0.9696969696969695,0.008658008658008665,2.896
50,10,sqrt,5,10,0.9640905288568599,0.00834609732322338,0.964069264069264,0.00844987934889314,3.104
50,10,sqrt,10,1,0.9719040092004485,0.011297000235079898,0.9718614718614719,0.011330088595932809,3.3106
50,10,sqrt,10,2,0.9706288278775281,0.00789641372978717,0.9705627705627705,0.00793519600858155,2.9878
50,10,sqrt,10,5,0.9697627788781696,0.008629681697672302,0.9696969696969695,0.008658008658008665,3.283
50,10,sqrt,10,10,0.9640905288568599,0.00834609732322338,0.964069264069264,0.00844987934889314,2.8539
50,10,sqrt,20,1,0.9679621107818994,0.0070117196737625575,0.9679653679653679,0.007033799484533312,3.1439
50,10,sqrt,20,2,0.9679737431328503,0.008227110023104566,0.9679653679653679,0.008259213865081782,3.3139
50,10,sqrt,20,5,0.9663459822982565,0.009359597911938992,0.9662337662337663,0.009444772393624,3.2968
50,10,sqrt,20,10,0.9640905288568599,0.00834609732322338,0.964069264069264,0.00844987934889314,2.8782
50,10,log2,2,1,0.9753401264368918,0.009466991544108102,0.9753246753246753,0.009494247705394518,3.1948
50,10,log2,2,2,0.9748824335282231,0.007648831929485039,0.9748917748917748,0.007695406421918258,3.3339
50,10,log2,2,5,0.9697627788781696,0.008629681697672302,0.9696969696969695,0.008658008658008665,3.1552
50,10,log2,2,10,0.9640905288568599,0.00834609732322338,0.964069264069264,0.00844987934889314,2.9439
50,10,log2,5,1,0.9748529234289462,0.010401655537076407,0.9748917748917748,0.010389610389610377,3.4616
50,10,log2,5,2,0.9749218591423021,0.00919759991778035,0.9748917748917748,0.0092442235948323,4.4453
50,10,log2,5,5,0.9697627788781696,0.008629681697672302,0.9696969696969695,0.008658008658008665,4.0186
50,10,log2,5,10,0.9640905288568599,0.00834609732322338,0.964069264069264,0.00844987934889314,4.4308
50,10,log2,10,1,0.9719040092004485,0.011297000235079898,0.9718614718614719,0.011330088595932809,4.8229
50,10,log2,10,2,0.9706288278775281,0.00789641372978717,0.9705627705627705,0.00793519600858155,4.8041
50,10,log2,10,5,0.9697627788781696,0.008629681697672302,0.9696969696969695,0.008658008658008665,4.3623
50,10,log2,10,10,0.9640905288568599,0.00834609732322338,0.964069264069264,0.00844987934889314,4.9458
50,10,log2,20,1,0.9679621107818994,0.0070117196737625575,0.9679653679653679,0.007033799484533312,4.4741
50,10,log2,20,2,0.9679737431328503,0.008227110023104566,0.9679653679653679,0.008259213865081782,4.9494
50,10,log2,20,5,0.9663459822982565,0.009359597911938992,0.9662337662337663,0.009444772393624,4.6396
50,10,log2,20,10,0.9640905288568599,0.00834609732322338,0.964069264069264,0.00844987934889314,4.9201
50,10,0.5,2,1,0.9749105993754883,0.006931731957309653,0.9748917748917748,0.006926406926406929,4.6758
50,10,0.5,2,2,0.9731607821478253,0.005734364551194638,0.9731601731601731,0.005743073230052635,4.2681
50,10,0.5,2,5,0.9684070996600955,0.00907722221478027,0.9683982683982684,0.009090909090909084,4.1528
50,10,0.5,2,10,0.9645228061652243,0.009908663727356716,0.9645021645021645,0.010022369612805393,3.4846
50,10,0.5,5,1,0.9735882017542778,0.00710058202195941,0.9735930735930737,0.007100095007297286,1.3249
50,10,0.5,5,2,0.9731689653129063,0.007156975633968175,0.9731601731601731,0.007191882132396614,1.3516
50,10,0.5,5,5,0.9684070996600955,0.00907722221478027,0.9683982683982684,0.009090909090909084,1.2439
50,10,0.5,5,10,0.9645228061652243,0.009908663727356716,0.9645021645021645,0.010022369612805393,1.2553
50,10,0.5,10,1,0.9722945206132383,0.007296346518474657,0.9722943722943722,0.007295367768983866,1.2662
50,10,0.5,10,2,0.9718988307065117,0.00754703710231688,0.9718614718614716,0.007560281037477491,1.3091
50,10,0.5,10,5,0.9684070996600955,0.00907722221478027,0.9683982683982684,0.009090909090909084,1.1198
50,10,0.5,10,10,0.9645228061652243,0.009908663727356716,0.9645021645021645,0.010022369612805393,1.0607
50,10,0.5,20,1,0.9731575741636428,0.004651628050900185,0.9731601731601731,0.004662480352497409,1.0814
50,10,0.5,20,2,0.9714055978251102,0.006191228179669195,0.9714285714285715,0.006183054916487328,1.0536
50,10,0.5,20,5,0.9667070420426551,0.008955343551504395,0.9666666666666668,0.009090909090909085,1.0659
50,10,0.5,20,10,0.9645228061652243,0.009908663727356716,0.9645021645021645,0.010022369612805393,1.0704
50,10,1.0,2,1,0.9707557519278108,0.009828545747677598,0.9705627705627705,0.010022369612805416,1.2217
50,10,1.0,2,2,0.971101683292018,0.007445633494237168,0.9709956709956711,0.0075105418064491435,1.2274
50,10,1.0,2,5,0.9668340388593227,0.010384376241889834,0.9666666666666666,0.010434606747354068,1.1772
50,10,1.0,2,10,0.9542435809576739,0.00995898196985669,0.9541125541125541,0.010096886398000502,1.2029
50,10,1.0,5,1,0.971586119741087,0.00973861761219593,0.9714285714285715,0.009909543846112215,1.2156
50,10,1.0,5,2,0.9698278590770174,0.00788206126548321,0.9696969696969697,0.007982289573413756,1.217
50,10,1.0,5,5,0.9668340388593227,0.010384376241889834,0.9666666666666666,0.010434606747354068,1.2121
50,10,1.0,5,10,0.9542435809576739,0.00995898196985669,0.9541125541125541,0.010096886398000502,1.2551
50,10,1.0,10,1,0.9694005692198276,0.007529896739186163,0.9692640692640693,0.007609695165041973,1.274
50,10,1.0,10,2,0.968485560224136,0.007990354214419319,0.9683982683982684,0.00799401961585257,1.2279
50,10,1.0,10,5,0.9668340388593227,0.010384376241889834,0.9666666666666666,0.010434606747354068,1.2103
50,10,1.0,10,10,0.9542435809576739,0.00995898196985669,0.9541125541125541,0.010096886398000502,1.1869
50,10,1.0,20,1,0.9663283674817643,0.010517031198785894,0.9662337662337661,0.010568446420548655,1.2338
50,10,1.0,20,2,0.964612766740775,0.0086239723975406,0.9645021645021645,0.008614609845078973,1.2258
50,10,1.0,20,5,0.9625643294340589,0.009818888962572735,0.9623376623376624,0.009881136112998554,1.1649
50,10,1.0,20,10,0.9542435809576739,0.00995898196985669,0.9541125541125541,0.010096886398000502,1.1602
50,20,sqrt,2,1,0.979204229077081,0.007682914520088693,0.979220779220779,0.007695406421918264,0.9719
50,20,sqrt,2,2,0.976178091694362,0.008895803815482708,0.976190476190476,0.008924471051120481,0.9856
50,20,sqrt,2,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,0.9582
50,20,sqrt,2,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,0.9544
50,20,sqrt,5,1,0.9757403815503503,0.00989205130498254,0.9757575757575756,0.009909543846112203,0.9573
50,20,sqrt,5,2,0.9748655569253382,0.009211038369498879,0.9748917748917749,0.009244223594832289,1.0185
50,20,sqrt,5,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,1.0221
50,20,sqrt,5,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,0.9477
50,20,sqrt,10,1,0.9757201190037966,0.005807175029245632,0.9757575757575756,0.005872147171537034,0.9751
50,20,sqrt,10,2,0.975321821439391,0.009472772880456814,0.9753246753246753,0.00949424770539451,0.9615
50,20,sqrt,10,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,0.9589
50,20,sqrt,10,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,0.9955
50,20,sqrt,20,1,0.9705795514776266,0.00664157788051194,0.9705627705627705,0.006650342638847286,1.0213
50,20,sqrt,20,2,0.9714537599565057,0.008029480170424111,0.9714285714285713,0.008029106922507105,1.0576
50,20,sqrt,20,5,0.9666841618788953,0.009020177056923012,0.9666666666666666,0.009090909090909084,1.3779
50,20,sqrt,20,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,1.3434
50,20,log2,2,1,0.979204229077081,0.007682914520088693,0.979220779220779,0.007695406421918264,1.3502
50,20,log2,2,2,0.976178091694362,0.008895803815482708,0.976190476190476,0.008924471051120481,1.2679
50,20,log2,2,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,1.3087
50,20,log2,2,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,1.3757
50,20,log2,5,1,0.9757403815503503,0.00989205130498254,0.9757575757575756,0.009909543846112203,1.4595
50,20,log2,5,2,0.9748655569253382,0.009211038369498879,0.9748917748917749,0.009244223594832289,1.3984
50,20,log2,5,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,1.3444
50,20,log2,5,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,1.2739
50,20,log2,10,1,0.9757201190037966,0.005807175029245632,0.9757575757575756,0.005872147171537034,1.3426
50,20,log2,10,2,0.975321821439391,0.009472772880456814,0.9753246753246753,0.00949424770539451,1.3328
50,20,log2,10,5,0.9701818712824473,0.007806200034808392,0.9701298701298701,0.007852102661132922,1.3312
50,20,log2,10,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,1.3304
50,20,log2,20,1,0.9705795514776266,0.00664157788051194,0.9705627705627705,0.006650342638847286,1.3059
50,20,log2,20,2,0.9714537599565057,0.008029480170424111,0.9714285714285713,0.008029106922507105,1.3641
50,20,log2,20,5,0.9666841618788953,0.009020177056923012,0.9666666666666666,0.009090909090909084,1.2757
50,20,log2,20,10,0.9628616699592077,0.010369104231795547,0.9627705627705628,0.010461511665449846,1.3933
50,20,0.5,2,1,0.9774514455165935,0.007478166962996715,0.9774891774891774,0.0074479006641061715,1.5967
50,20,0.5,2,2,0.9792050661546737,0.005415539250855403,0.9792207792207792,0.005406924673938009,1.4368
50,20,0.5,2,5,0.969279269052396,0.009548531166831043,0.9692640692640693,0.009572876358223374,1.379
50,20,0.5,2,10,0.964462395414549,0.008964850425717163,0.9645021645021645,0.009039226414641171,1.3925
50,20,0.5,5,1,0.9796446082029149,0.007523028981083237,0.9796536796536797,0.007510541806449108,1.3855
50,20,0.5,5,2,0.9778906803218407,0.007884105333930644,0.9779220779220779,0.007852102661132924,1.4895
50,20,0.5,5,5,0.969279269052396,0.009548531166831043,0.9692640692640693,0.009572876358223374,1.6728
50,20,0.5,5,10,0.964462395414549,0.008964850425717163,0.9645021645021645,0.009039226414641171,1.6729
50,20,0.5,10,1,0.9748787141472454,0.005451371022526943,0.9748917748917748,0.005406924673937999,1.5552
50,20,0.5,10,2,0.9749018520367452,0.0060843714255975675,0.9748917748917749,0.006060606060606051,1.6524
50,20,0.5,10,5,0.969279269052396,0.009548531166831043,0.9692640692640693,0.009572876358223374,1.7402
50,20,0.5,10,10,0.964462395414549,0.008964850425717163,0.9645021645021645,0.009039226414641171,1.7824
50,20,0.5,20,1,0.974866081703424,0.005407672353137362,0.9748917748917748,0.005406924673938014,1.6641
50,20,0.5,20,2,0.9726781373496713,0.005854338845338557,0.9727272727272727,0.005824079674057871,1.641
50,20,0.5,20,5,0.9658569957315588,0.009046550442452143,0.9658008658008658,0.009172995714466264,1.6388
50,20,0.5,20,10,0.964462395414549,0.008964850425717163,0.9645021645021645,0.009039226414641171,1.5969
50,20,1.0,2,1,0.9783852530894961,0.00765486365443446,0.9783549783549784,0.007743958363635622,2.012
50,20,1.0,2,2,0.9758128239618145,0.006990091739616174,0.9757575757575758,0.007033799484533309,1.9385
50,20,1.0,2,5,0.9684997624439922,0.00792023799464756,0.9683982683982684,0.007994019615852553,1.8057
50,20,1.0,2,10,0.9550119055405581,0.009541229498451867,0.954978354978355,0.009718590614997233,1.8591
50,20,1.0,5,1,0.9748991887792936,0.009370798216158546,0.9748917748917749,0.009444772393624014,1.9751
