parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,14878.0,0.1855,False
n_estimators,50,200,13515.0,0.0134,True
n_estimators,50,500,13279.0,0.0075,True
n_estimators,100,200,16145.0,0.7983,False
n_estimators,100,500,14800.0,0.1646,False
n_estimators,200,500,14270.0,0.0662,False
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,1723.0,0.0,True
max_depth,10.0,nan,1723.0,0.0,True
max_depth,20.0,nan,0.0,,False
max_features,0.5,1.0,33.0,0.0,True
max_features,0.5,log2,10582.0,0.0,True
max_features,0.5,sqrt,10582.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,0.0,,False
min_samples_split,2,5,1845.0,0.0,True
min_samples_split,2,10,367.0,0.0,True
min_samples_split,2,20,16.0,0.0,True
min_samples_split,5,10,664.0,0.0,True
min_samples_split,5,20,26.0,0.0,True
min_samples_split,10,20,106.0,0.0,True
min_samples_leaf,1,2,2856.0,0.0,True
min_samples_leaf,1,5,6.0,0.0,True
min_samples_leaf,1,10,0.0,0.0,True
min_samples_leaf,2,5,6.0,0.0,True
min_samples_leaf,2,10,0.0,0.0,True
min_samples_leaf,5,10,50.0,0.0,True
