rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,100,,sqrt,5,2,0.7563359697933778,0.0385246755882404,0.7636694677871148,0.0349140983611551,1.74
2,100,,log2,5,2,0.7563359697933778,0.0385246755882404,0.7636694677871148,0.0349140983611551,1.8728
3,100,20.0,sqrt,5,2,0.7561411524853376,0.037198056744909,0.7636694677871148,0.0336743262852721,3.4897
4,100,20.0,log2,5,2,0.7561411524853376,0.037198056744909,0.7636694677871148,0.0336743262852721,3.0474
5,200,,sqrt,5,1,0.7524973673158727,0.0329089350877724,0.7600840336134453,0.029564496066949,7.7345
6,200,,log2,5,1,0.7524973673158727,0.0329089350877724,0.7600840336134453,0.029564496066949,8.8959
7,200,20.0,sqrt,5,1,0.7523690308030312,0.0331616590934609,0.7600840336134453,0.029564496066949,4.5551
8,200,20.0,log2,5,1,0.7523690308030312,0.0331616590934609,0.7600840336134453,0.029564496066949,4.4961
9,500,20.0,sqrt,5,1,0.7523262192182947,0.0216906780818429,0.7588795518207283,0.0203491520249967,8.9655
10,500,20.0,log2,5,1,0.7523262192182947,0.0216906780818429,0.7588795518207283,0.0203491520249967,9.05
