n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
50,,sqrt,2,1,0.725194458082963,0.03573711018119758,0.7329131652661064,0.03512570418746529,0.9599
50,,sqrt,2,2,0.7461526182895105,0.041419377473414586,0.7542156862745097,0.03823454765793346,0.9133
50,,sqrt,2,5,0.7158701704698478,0.03050764628691596,0.729313725490196,0.028636374392439507,0.8648
50,,sqrt,2,10,0.6901620600707329,0.02936488704718715,0.7080532212885153,0.02664094176759237,0.8816
50,,sqrt,5,1,0.7424790296478797,0.04748819056900586,0.7483893557422969,0.04430785771050225,0.8712
50,,sqrt,5,2,0.7479656707798075,0.04562494165095103,0.7542156862745097,0.043248993573030026,0.8814
50,,sqrt,5,5,0.7158701704698478,0.03050764628691596,0.729313725490196,0.028636374392439507,0.8639
50,,sqrt,5,10,0.6901620600707329,0.02936488704718715,0.7080532212885153,0.02664094176759237,0.8933
50,,sqrt,10,1,0.7352830667694474,0.02849786942965351,0.7435294117647059,0.02704603278252389,0.9049
50,,sqrt,10,2,0.7259614394345733,0.023745105822280937,0.7352661064425771,0.021410970234166198,0.9019
50,,sqrt,10,5,0.7158701704698478,0.03050764628691596,0.729313725490196,0.028636374392439507,0.8862
50,,sqrt,10,10,0.6901620600707329,0.02936488704718715,0.7080532212885153,0.02664094176759237,0.8938
50,,sqrt,20,1,0.7288041482411985,0.037411790678507625,0.7399439775910365,0.03420836737824483,0.8911
50,,sqrt,20,2,0.7265660711323354,0.045538424811052,0.7387955182072828,0.041499145385242735,0.8866
50,,sqrt,20,5,0.7144377385295815,0.04868561532339055,0.7293417366946778,0.044799026564340046,0.8969
50,,sqrt,20,10,0.6901620600707329,0.02936488704718715,0.7080532212885153,0.02664094176759237,0.8939
50,,log2,2,1,0.725194458082963,0.03573711018119758,0.7329131652661064,0.03512570418746529,0.8938
50,,log2,2,2,0.7461526182895105,0.041419377473414586,0.7542156862745097,0.03823454765793346,0.8892
50,,log2,2,5,0.7158701704698478,0.03050764628691596,0.729313725490196,0.028636374392439507,0.9143
50,,log2,2,10,0.6901620600707329,0.02936488704718715,0.7080532212885153,0.02664094176759237,0.9091
50,,log2,5,1,0.7424790296478797,0.04748819056900586,0.7483893557422969,0.04430785771050225,0.8955
50,,log2,5,2,0.7479656707798075,0.04562494165095103,0.7542156862745097,0.043248993573030026,0.9016
50,,log2,5,5,0.7158701704698478,0.03050764628691596,0.729313725490196,0.028636374392439507,0.8944
50,,log2,5,10,0.6901620600707329,0.02936488704718715,0.7080532212885153,0.02664094176759237,0.8828
50,,log2,10,1,0.7352830667694474,0.02849786942965351,0.7435294117647059,0.02704603278252389,0.8808
50,,log2,10,2,0.7259614394345733,0.023745105822280937,0.7352661064425771,0.021410970234166198,0.9075
50,,log2,10,5,0.7158701704698478,0.03050764628691596,0.729313725490196,0.028636374392439507,0.916
50,,log2,10,10,0.6901620600707329,0.02936488704718715,0.7080532212885153,0.02664094176759237,0.9037
50,,log2,20,1,0.7288041482411985,0.037411790678507625,0.7399439775910365,0.03420836737824483,0.9031
50,,log2,20,2,0.7265660711323354,0.045538424811052,0.7387955182072828,0.041499145385242735,0.9451
50,,log2,20,5,0.7144377385295815,0.04868561532339055,0.7293417366946778,0.044799026564340046,0.9257
50,,log2,20,10,0.6901620600707329,0.02936488704718715,0.7080532212885153,0.02664094176759237,0.9238
50,,0.5,2,1,0.7461319842909437,0.03971214043398507,0.7530252100840336,0.03661913021911762,0.9137
50,,0.5,2,2,0.7352893583066242,0.03299882450110226,0.742296918767507,0.03391293980142068,0.8976
50,,0.5,2,5,0.738443269992463,0.035259555864350194,0.7482773109243698,0.0312524618682055,0.8838
50,,0.5,2,10,0.7116521771072883,0.04321582779485808,0.7269887955182073,0.03967275899678122,0.9187
50,,0.5,5,1,0.7333289913684901,0.03880668699946871,0.74,0.03799357211760907,1.0294
50,,0.5,5,2,0.734482998408533,0.030188193613010315,0.7423669467787115,0.02932234305566066,0.9562
50,,0.5,5,5,0.738443269992463,0.035259555864350194,0.7482773109243698,0.0312524618682055,0.9235
50,,0.5,5,10,0.7116521771072883,0.04321582779485808,0.7269887955182073,0.03967275899678122,0.917
50,,0.5,10,1,0.7314598758217883,0.045515576879249925,0.7400280112044817,0.04311282002845795,0.9199
50,,0.5,10,2,0.7327663457625861,0.03565754597034705,0.7411344537815127,0.033944220417122035,0.9124
50,,0.5,10,5,0.738443269992463,0.035259555864350194,0.7482773109243698,0.0312524618682055,0.92
50,,0.5,10,10,0.7116521771072883,0.04321582779485808,0.7269887955182073,0.03967275899678122,0.9239
50,,0.5,20,1,0.7167304837223032,0.04676686133693302,0.7269747899159664,0.04414014810128185,0.9294
50,,0.5,20,2,0.7200283455792187,0.03918883492074053,0.7305042016806722,0.03876829632783988,0.9114
