parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,8180.0,0.0,True
n_estimators,50,200,8679.0,0.0,True
n_estimators,50,500,8336.0,0.0,True
n_estimators,100,200,16100.0,0.7692,False
n_estimators,100,500,14701.0,0.1407,False
n_estimators,200,500,15300.0,0.333,False
max_depth,5.0,10.0,1529.0,0.0,True
max_depth,5.0,20.0,1988.0,0.0,True
max_depth,5.0,nan,1988.0,0.0,True
max_depth,10.0,20.0,15572.0,0.4601,False
max_depth,10.0,nan,15321.0,0.3419,False
max_depth,20.0,nan,661.0,0.985,False
max_features,0.5,1.0,13800.0,0.0255,True
max_features,0.5,log2,8894.0,0.0,True
max_features,0.5,sqrt,8894.0,0.0,True
max_features,1.0,log2,9817.0,0.0,True
max_features,1.0,sqrt,9817.0,0.0,True
max_features,log2,sqrt,0.0,,False
min_samples_split,2,5,3449.0,0.1064,False
min_samples_split,2,10,1575.0,0.0,True
min_samples_split,2,20,985.0,0.0,True
min_samples_split,5,10,1836.0,0.0,True
min_samples_split,5,20,1462.0,0.0,True
min_samples_split,10,20,1860.0,0.0,True
min_samples_leaf,1,2,9307.0,0.0,True
min_samples_leaf,1,5,1787.0,0.0,True
min_samples_leaf,1,10,18.0,0.0,True
min_samples_leaf,2,5,4734.0,0.0,True
min_samples_leaf,2,10,5.0,0.0,True
min_samples_leaf,5,10,118.0,0.0,True
