rank,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
1,50,,sqrt,2,1,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.7172
2,50,,sqrt,2,2,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.6871
3,50,,sqrt,2,5,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.6862
4,50,,sqrt,5,1,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.679
5,50,,sqrt,5,2,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.6766
6,50,,sqrt,5,5,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.6693
7,50,,sqrt,10,2,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.7682
8,50,,sqrt,10,5,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.7891
9,50,,sqrt,20,1,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.8118
10,50,,sqrt,20,2,0.9889277389277388,0.0221446925387738,0.9888888888888888,0.0222222222222222,0.7869
