n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_f1,std_f1,mean_accuracy,std_accuracy,time_s
50,,sqrt,2,1,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.7172
50,,sqrt,2,2,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.6871
50,,sqrt,2,5,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.6862
50,,sqrt,2,10,0.9773569023569024,0.03793567043699597,0.9777777777777779,0.036851386559504457,0.6632
50,,sqrt,5,1,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.679
50,,sqrt,5,2,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.6766
50,,sqrt,5,5,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.6693
50,,sqrt,5,10,0.9773569023569024,0.03793567043699597,0.9777777777777779,0.036851386559504457,0.6758
50,,sqrt,10,1,0.9833721833721834,0.03553060670755236,0.9833333333333334,0.035572912430182506,0.6961
50,,sqrt,10,2,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.7682
50,,sqrt,10,5,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.7891
50,,sqrt,10,10,0.9773569023569024,0.03793567043699597,0.9777777777777779,0.036851386559504457,0.7837
50,,sqrt,20,1,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.8118
50,,sqrt,20,2,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.7869
50,,sqrt,20,5,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,0.7556
50,,sqrt,20,10,0.9773569023569024,0.03793567043699597,0.9777777777777779,0.036851386559504457,0.8168
50,,log2,2,1,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,1.1086
50,,log2,2,2,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,1.136
50,,log2,2,5,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,1.167
50,,log2,2,10,0.9773569023569024,0.03793567043699597,0.9777777777777779,0.036851386559504457,1.1207
50,,log2,5,1,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,1.1406
50,,log2,5,2,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,1.134
50,,log2,5,5,0.9889277389277389,0.02214469253877384,0.9888888888888889,0.022222222222222233,1.0984
50,,log2,5,10,0.9773569023569024,0.03793567043699597,0.9777777777777779,0.036851386559504457,1.1285
