parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,1352.0,0.0,True
n_estimators,50,200,8536.0,0.7323,False
n_estimators,50,500,9306.0,0.5768,False
n_estimators,100,200,5334.0,0.005,True
n_estimators,100,500,4602.0,0.0,True
n_estimators,200,500,2745.0,0.5392,False
max_depth,5.0,10.0,3.0,0.017,True
max_depth,5.0,20.0,3.0,0.017,True
max_depth,5.0,nan,3.0,0.017,True
max_depth,10.0,20.0,0.0,,False
max_depth,10.0,nan,0.0,,False
max_depth,20.0,nan,0.0,,False
max_features,0.5,1.0,0.0,0.0,True
max_features,0.5,log2,136.0,0.0,True
max_features,0.5,sqrt,136.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,0.0,,False
min_samples_split,2,5,113.0,0.9297,False
min_samples_split,2,10,426.0,0.9531,False
min_samples_split,2,20,765.0,0.0003,True
min_samples_split,5,10,164.0,0.7693,False
min_samples_split,5,20,439.0,0.0,True
min_samples_split,10,20,279.0,0.0001,True
min_samples_leaf,1,2,956.0,0.0001,True
min_samples_leaf,1,5,1817.0,0.0,True
min_samples_leaf,1,10,0.0,0.0,True
min_samples_leaf,2,5,2633.0,0.0,True
min_samples_leaf,2,10,0.0,0.0,True
min_samples_leaf,5,10,264.0,0.0,True
